t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,d_min,overlap,m_center,E_sym,drift_resolution_number,R05_c0,R09_c0,c0_x,c0_y,c0_z,R05_c1,R09_c1,c1_x,c1_y,c1_z,R05_c2,R09_c2,c2_x,c2_y,c2_z,R05_c3,R09_c3,c3_x,c3_y,c3_z
0.4,0,40000,13238,80.0,26.476,26.374396317148854,0.0,0.47557654345011124,13238,2.818888880979349,0.9862496249365085,4.712,0.0032721133043577453,0.0,1.4348911067302128,2.3282491230018167,1.00586518684839,1.001256624009323,0.9994883985857514,1.4219526747080975,2.3009795077866126,0.9932662764416627,-1.0028678887417364,-1.002816062810938,1.4323685809738245,2.3317278276413878,-0.990723468811229,0.9996103620920351,-1.0030786996139778,1.4283211453479843,2.333227330948401,-0.9913710609095849,-1.0153468477280594,1.0095884255892908
0.44,0,40000,14201,80.0,28.402,28.477086313348696,0.0,0.4575203806877533,14201,2.8102050083819123,0.9394201853894999,4.5840000000000005,0.0035477402139581075,0.0,1.4983331789205123,2.4230003127770305,1.0037731389546707,0.9977851145598349,1.0012827633545367,1.4873003123261412,2.4141816871827175,0.9910452957294131,-1.0009505911805423,-1.0000760208401775,1.5041246667068062,2.432987906031571,-0.9894019806988572,0.9928031575304646,-1.0052494069110232,1.488144759206174,2.4229388859448133,-0.9881363343429959,-1.01450119451055,1.0069099604058378
0.48,0,40000,15226,80.0,30.452,30.49732865550873,0.0,0.4576028884395742,15226,2.809524697555489,0.9047978293684563,4.57,0.003544577815171272,0.0,1.5520531628790155,2.5186680767170566,1.0009525489218518,0.9928751343793616,0.999793527495525,1.5463058007698596,2.5186822800572437,0.988470217242738,-1.0028538757718506,-1.000744083518688,1.558835045463736,2.5295625705575615,-0.9874269077207956,0.9944570919568498,-1.00365542783819,1.5579032380639424,2.522421222416901,-0.9847300827234218,-1.008560984442826,1.0134674198338072
0.52,0,40000,16283,80.0,32.566,32.43835616238446,0.0,0.4158148381749667,16283,2.8144842119628994,0.8739220059790187,4.598,0.0032766676723123465,0.0,1.611387977981517,2.63345833599697,1.0059359984962022,0.9939305757156287,1.0008834718263788,1.6044125448907063,2.5961030144158066,0.9894920488874464,-1.0029706288870655,-0.9989426160579535,1.6161085001308673,2.6284082434254694,-0.9866354285410273,1.0010855318122829,-0.9996333429124578,1.6180576022290802,2.6158213341833347,-0.9884695629558502,-1.0104661837361757,1.0115078649010645
0.56,0,40000,17278,80.0,34.556,34.30327489209481,0.0,0.4381092554695984,17278,2.816086092528,0.8393778579277346,4.47,0.0033744755229118814,0.0,1.6778895303396808,2.7101542928392197,1.0103994196069603,0.994966449865613,0.9992184078364357,1.6685135347872784,2.7013727126202283,0.9905862899119251,-1.0034368300902727,-0.9970106580558653,1.6864547502713538,2.7322625142018238,-0.9878792396327576,1.000558520577969,-1.0012134467929688,1.6846295553778534,2.7258125581969326,-0.9924961661070268,-1.0108077808846403,1.012553258682754
0.6,0,40000,18250,80.0,36.5,36.09506911247789,0.0,0.44367576796762037,18250,2.8172107620605926,0.8115352169558108,4.2620000000000005,0.003251530716549221,0.0,1.7351357040077557,2.8019601008635293,1.0117596534371618,0.9970603168197103,1.0006430691080812,1.7249161740821641,2.78045795370383,0.995420391763961,-1.0048759492960064,-0.9987297388254239,1.7441904839626663,2.802888613625946,-0.9843949272560728,0.9993700944972339,-0.9963683022349503,1.739391521888785,2.816556459363776,-0.9966426480470307,-1.0146921932876225,1.0084154614833345
0.64,0,40000,19072,80.0,38.144,37.81660607655611,0.0,0.4508888434024403,19072,2.822718997414153,0.7934399025664857,4.316,0.002851827600024039,0.0,1.7900139976064366,2.8803927128223643,1.0142460427921778,1.0006069227011798,1.0090787035305633,1.7768586257408006,2.8601770250834364,0.9931553719590482,-1.0079359471066827,-1.0040108273751223,1.780712638678467,2.8894653985548553,-0.9919235951948506,0.9988245753530505,-0.993229453477948,1.789619264750649,2.8940446468222767,-0.9978189954328398,-1.0132068336570157,1.0071437989591647
0.68,0,40000,19922,80.0,39.844,39.47064061075284,0.0,0.4253295318307044,19922,2.818352800055073,0.7682997746728565,4.22,0.003430224243496949,0.0,1.8439652776218887,2.9647953191329477,1.0155963769913976,1.0010948205183894,1.0133099892845356,1.8316939058497272,2.9513034842529464,0.9934008487566377,-1.0070548831897685,-1.002328603607511,1.8366044497695133,2.9881667561645995,-0.9895550391972945,0.9956427020756937,-0.9881570130479345,1.8336579009915042,2.979905825407868,-0.9975879645035661,-1.0119972653816678,1.0085581906549734
0.72,0,40000,20650,80.0,41.300000000000004,41.059819523202265,0.0,0.4316283876515842,20650,2.815349027512914,0.7464938466803077,4.118,0.0035608239450017525,0.0,1.8925906887513055,3.0495877142988377,1.00958107979171,0.996393405563504,1.0136327055333183,1.8918154786806491,3.0400105409466245,0.9932492902636039,-1.0115096157428232,-1.0034144571273789,1.87961417212344,3.0651900141072126,-0.9828118773666796,0.9937874718019586,-0.9909244937180688,1.8791240466139838,3.0580370294929566,-1.000379305483139,-1.0126981135246433,1.0107354583538388
0.76,0,40000,21492,80.0,42.984,42.58668583920726,0.0,0.4148125028364076,21492,2.8155414536412784,0.7274879633100302,3.988,0.003904142456131869,0.0,1.9489034487958312,3.134798340159514,1.0085476833117797,0.9981963964246905,1.016081126778971,1.9415089318248748,3.1181686801406623,0.9920155305640392,-1.014466832711503,-1.0039266814552157,1.9287151758438206,3.139664243038739,-0.9829450970503277,0.9922080832343463,-0.996182118250796,1.9246279004044475,3.1478914917703738,-0.998583471098657,-1.0134279401637762,1.0076343294107737
0.8,0,40000,22201,80.0,44.402,44.053682870622275,0.0,0.399621884041708,22201,2.8117353741420446,0.7101895643026669,3.738,0.004144761716468548,0.0,2.000328231080755,3.2323083275265354,1.003634955286457,0.9969455910416682,1.0159492434759203,1.98957905172912,3.202539457800714,0.9905564611743873,-1.013055484794073,-1.0066472077007251,1.9695545591721886,3.2126735528662382,-0.9825892088280792,0.990076476731625,-1.0028625192815106,1.9835752878785562,3.218088913247805,-0.9962655875542721,-1.011558508003346,1.0069427021555022
0.84,0,40000,22835,80.0,45.67,45.46315812567363,0.0,0.41031092049913204,22835,2.813844687873042,0.6934529764725297,3.64,0.004248857810689156,0.0,2.0548630904153304,3.302270321696791,1.0013506156466203,1.0006463930858098,1.0099734795821877,2.0344771696343362,3.278663618993822,0.9968061790344214,-1.0122534372665521,-1.0118336920643873,2.0202182455874205,3.2811651987682855,-0.9807236968808155,0.9895055479988679,-1.0041863236829434,2.0251300228699147,3.2948284789653837,-0.9922095634278527,-1.0150641678445247,1.0076332105403045
0.88,0,40000,23519,80.0,47.038000000000004,46.81736706547349,0.0,0.41912061109680093,23519,2.8136162199962826,0.6773996725040615,3.508,0.004854759119189207,0.0,2.104360605849722,3.3659348599570738,0.9975894853847782,1.003011882441136,1.011967685641137,2.0810639192749694,3.34626472093108,0.9979752483651501,-1.0131866747211724,-1.0129582609664673,2.067725015651843,3.352305817514515,-0.9784094028543073,0.9893917826652503,-1.0085462475790852,2.0680003501854074,3.358661676973931,-0.9925750642691744,-1.015404980518488,1.0093480255216782
0.92,0,40000,24211,80.0,48.422000000000004,48.11847671323888,0.0,0.3983802382211815,24211,2.8137551230488254,0.6646246232562141,3.2760000000000002,0.004618020541312702,0.0,2.128505306143471,3.458578524263395,0.9998138396489091,1.0028476526964871,1.0126697628899368,2.127291194110539,3.423363058780818,0.9956313701683888,-1.0119464064030819,-1.0084286950838761,2.106309284402153,3.4254866379821824,-0.9781104563746954,0.9934365344015443,-1.007832567858319,2.104267137955361,3.4422524592855988,-0.9947323527939096,-1.0164605512468512,1.0094284857025677
0.96,0,40000,24857,80.0,49.714,49.368569121991044,0.0,0.38873853604504277,24857,2.8083883363999993,0.6517536690160256,3.35,0.005300737440642497,0.0,2.181619106703563,3.5091983548229737,1.0031474295976484,1.0037504161209423,1.010188005065423,2.1621882887901656,3.4995651424070564,0.9905454039792341,-1.011609477540433,-1.0101110758787675,2.146783750661361,3.495532953075307,-0.9745459845317255,0.9947431934336937,-1.0069737995739123,2.1481347640898667,3.520981437607386,-0.9990697120855723,-1.0162334658294014,1.0057775847304429
1.0,0,40000,25447,80.0,50.894,50.56964470628461,0.0,0.3815753862111199,25447,2.805979007264321,0.6378527349844264,3.23,0.006219367537636616,0.0,2.222094201313079,3.6051543693041515,1.008138752697386,1.006350399217279,1.0128046718546706,2.2003010059793464,3.562608242690205,0.9857811461326911,-1.0140450558784568,-1.0111171749103551,2.198800625736367,3.577691100708664,-0.9752952375073614,0.9928633707573198,-1.0070955041592669,2.1970626528120087,3.5840852284463933,-1.0053526586005255,-1.016433175245373,1.0009814942397606
