n,t,S_L2,S_core,peak,umin,mass_u,peak_v,mass_v,xc,yc,R_0_5,R_0_8
128,7.468671679197996e-05,665.8913900744385,665.8852298770026,31600.018233513612,4.408503039920206e-15,31.415926530267093,414.9644652844685,31.415639329526886,8.685596400218228e-18,0.0,0.012352647110032741,0.02762135864009952
128,7.518796992481204e-05,671.1859641308604,671.1799982686772,31981.227257613482,4.445353172045526e-15,31.415926530267093,414.9423844838147,31.415639329670846,8.31816285874173e-18,0.0,0.012352647110032741,0.027621358640099514
128,7.568922305764412e-05,676.4738809452704,676.4682080607988,32362.64696260895,4.482446721626168e-15,31.415926530267097,414.9204170649232,31.41563932981481,8.614324022833643e-18,0.0,0.012352647110032741,0.027621358640099514
128,7.61904761904762e-05,681.7545196769859,681.7491242234601,32744.215986959127,4.519785214404308e-15,31.415926530267097,414.89856194732164,31.415639329958772,8.836696878615358e-18,0.0,0.012352647110032741,0.027621358640099514
128,7.669172932330828e-05,687.0272668198155,687.0221341257413,33125.87349005391,4.5573701843476074e-15,31.41592653026709,414.87681802492244,31.41563933010273,9.184939417542458e-18,0.0,0.012352647110032741,0.027621358640099514
128,7.719298245614036e-05,692.2915163707721,692.2864009493339,33507.559176567265,4.595203173696629e-15,31.415926530267082,414.85518416673597,31.415639330246687,9.129571283120542e-18,0.0,0.012352647110032741,0.02762135864009951
128,7.769423558897245e-05,697.5466699896028,697.5418022545545,33889.21331988842,4.633285733012455e-15,31.415926530267093,414.83365921759116,31.415639330390647,9.069765796824839e-18,0.0,0.012352647110032741,0.02762135864009951
128,7.819548872180453e-05,702.7921371492995,702.7875041139355,34270.776784637404,4.671619421224487e-15,31.415926530267097,414.8122419988627,31.41563933053461,1.0069661077136089e-17,0.0,0.012352647110032741,0.02762135864009951
128,7.86967418546366e-05,708.0273352777614,708.0228022376299,34652.19104827252,4.710205805678446e-15,31.4159265302671,414.79093130920364,31.41563933067857,9.565970728205902e-18,0.0,0.012352647110032741,0.027621358640099503
128,7.919799498746869e-05,713.2516898907869,713.2473739106684,35033.39822179765,4.749046462184553e-15,31.41592653026709,414.76972592528324,31.41563933082253,1.0150741788130413e-17,0.0,0.012352647110032741,0.027621358640099503
128,7.969924812030076e-05,718.4646347165875,718.4605245216997,35414.3410695787,4.78814297506591e-15,31.415926530267097,414.7486246025288,31.415639330966492,1.0417027946737721e-17,0.0,0.012352647110032741,0.027621358640099503
128,8.020050125313284e-05,723.6656118120176,723.6616967512015,35794.96302827889,4.827496937207071e-15,31.415926530267097,414.72762607587117,31.415639331110444,1.0418523289734166e-17,0.0,0.012352647110032741,0.027621358640099503
128,8.070175438596492e-05,728.8540716707238,728.8503416802492,36175.2082249233,4.867109950102808e-15,31.415926530267093,414.70672906049293,31.415639331254404,1.0646873675735967e-17,0.0,0.012352647110032741,0.027621358640099503
128,8.1203007518797e-05,734.0294733234213,734.0211045652937,36555.02149410372,4.9069836239070664e-15,31.41592653026709,414.6859322525786,31.415639331398367,1.1183177000596799e-17,0.0,0.012352647110032741,0.022777155839239463
128,8.170426065162908e-05,739.1912844305054,739.1833269773954,36934.34839433542,4.9471195774821215e-15,31.41592653026709,414.6652343300664,31.415639331542323,1.1954693683651912e-17,0.0,0.012352647110032745,0.022777155839239463
128,8.220551378446116e-05,744.3389813672203,744.3314135010783,37313.13522357779,4.987519438447927e-15,31.41592653026709,414.64463395340067,31.415639331686286,1.1449445111094122e-17,0.0,0.012352647110032745,0.022777155839239463
128,8.270676691729324e-05,749.4720493015935,749.4648505142347,37691.32903393139,5.028184843231657e-15,31.415926530267093,414.6241297662843,31.415639331830242,1.2047006434065144e-17,0.0,0.012352647110032736,0.022777155839239463
128,8.320802005012533e-05,754.5899822653613,754.5831331884184,38068.87764552433,5.069117437117456e-15,31.415926530267093,414.60372039643073,31.415639331974205,1.2140271081143822e-17,0.0,0.012352647110032736,0.022777155839239463
128,8.370927318295741e-05,759.6922832181004,759.6857655571328,38445.72965960092,5.1103188742963684e-15,31.415926530267086,414.58340445631495,31.41563933211816,1.2192274380886148e-17,0.0,0.012352647110032736,0.022777155839239463
128,8.421052631578949e-05,764.7784641047882,764.772260577299,38821.834470826325,5.151790817916488e-15,31.415926530267093,414.5631805439223,31.41563933226212,1.2871316593909348e-17,0.0,0.012352647110032736,0.022777155839239463
128,8.471177944862157e-05,769.8480459070042,769.8421401841321,39197.14227882066,5.19353494013329e-15,31.415926530267093,414.54304724349544,31.415639332406077,1.268985018862857e-17,0.0,0.012352647110032736,0.022777155839239463
