experiment,method,seed,K,h,region,E_total,E_particle,E_proj,E_KDE_rep,E_bias,global_nESS,local_nESS_or_count,N_active,particle_steps
localized,weighted,2,12,,B,0.11437061946908687,0.11548004794071966,0.007266497418481156,,,0.020318838740796444,0.4279993269736471,20000,10000000
localized,minvar,2,12,,global,0.053378801673018374,0.05234744718310539,0.010456618159426154,,,nan,125976.0,125976,18138167
localized,minvar,2,12,,B,0.05251715702147881,0.05209522180354478,0.007266497418481156,,,nan,104492.0,125976,18138167
localized,weighted,2,16,,global,0.21165380112784446,0.21165298526352921,0.0006012965921897929,,,0.020318838740796444,0.020318838740796444,20000,10000000
localized,weighted,2,16,,B,0.1930781302191325,0.19311013863422227,0.00039434588388417505,,,0.020318838740796444,0.4279993269736471,20000,10000000
localized,minvar,2,16,,global,0.05375213067034655,0.053748777088651695,0.0006012965921897929,,,nan,125976.0,125976,18138167
localized,minvar,2,16,,B,0.05323601094200595,0.05324437131575795,0.00039434588388417505,,,nan,104492.0,125976,18138167
localized,weighted,2,24,,global,0.36505060728796174,0.365050607287463,6.473460628899175e-07,,,0.020318838740796444,0.020318838740796444,20000,10000000
localized,weighted,2,24,,B,0.3458465395399649,0.3458465616198162,3.9818383080307337e-07,,,0.020318838740796444,0.4279993269736471,20000,10000000
localized,minvar,2,24,,global,0.05659979643794216,0.056599796434255535,6.473460628899175e-07,,,nan,125976.0,125976,18138167
localized,minvar,2,24,,B,0.055708043367297955,0.05570804372793755,3.9818383080307337e-07,,,nan,104492.0,125976,18138167
