N,t,S_L2,peak,umin,mass_u,mass_v
320,1.939799331103679e-05,498.17085450531533,31256.7746632907,-9.094947017729282e-13,31.415926530162892,31.41563796590513
320,2.0066889632107023e-05,522.0630493995549,33841.29585997697,-9.094947017729282e-13,31.415926530162892,31.415637966098135
320,2.073578595317726e-05,546.4261826364831,36557.61789582989,-1.8189894035458565e-12,31.415926530162885,31.415637966291158
320,2.1404682274247492e-05,571.2029840068836,39408.61895268126,-9.094947017729282e-13,31.415926530162885,31.41563796648417
320,2.2073578595317725e-05,596.3883038440562,42395.82895382828,-9.094947017729282e-13,31.415926530162874,31.415637966677185
320,2.274247491638796e-05,621.957465442806,45522.12668921886,-9.094947017729282e-13,31.415926530162867,31.415637966870197
320,2.3411371237458194e-05,647.9047411539037,48791.224507701256,-1.8189894035458565e-12,31.415926530162867,31.41563796706321
320,2.408026755852843e-05,674.2266856097241,52207.34913399686,-1.8189894035458565e-12,31.415926530162853,31.415637967256224
320,2.4749163879598663e-05,700.9224149032431,55775.74060579238,-9.094947017729282e-13,31.415926530162853,31.415637967449236
320,2.5418060200668895e-05,727.9818980688273,59502.36828211331,-1.8189894035458565e-12,31.41592653016285,31.415637967642247
320,2.608695652173913e-05,755.4026894884207,63393.37779336426,-9.094947017729282e-13,31.41592653016284,31.415637967835263
320,2.6755852842809364e-05,783.1009970335086,67454.31047864865,-1.8189894035458565e-12,31.415926530162835,31.415637968028275
320,2.74247491638796e-05,811.0359099023933,71688.0557965725,-3.637978807091713e-12,31.41592653016283,31.415637968221287
320,2.8093645484949833e-05,839.2630107185983,76101.26391812984,-1.8189894035458565e-12,31.41592653016282,31.4156379684143
320,2.8762541806020066e-05,867.8054310853757,80700.01671824127,-1.8189894035458565e-12,31.41592653016281,31.415637968607314
320,2.9431438127090302e-05,896.6676829956939,85489.98749858342,-3.637978807091713e-12,31.41592653016281,31.415637968800326
320,3.0100334448160535e-05,925.8499192020204,90478.91560021027,-3.637978807091713e-12,31.415926530162807,31.415637968993334
320,3.076923076923077e-05,955.374291709742,95677.29131919371,-3.637978807091713e-12,31.4159265301628,31.415637969186353
320,3.1438127090301004e-05,985.2514868277162,101091.32481518868,-3.637978807091713e-12,31.415926530162793,31.415637969379357
320,3.210702341137124e-05,1015.4504196670157,106726.54777330952,-1.8189894035458565e-12,31.415926530162793,31.41563796957237
320,3.277591973244147e-05,1046.0025767570623,112587.05581052502,-3.637978807091713e-12,31.415926530162785,31.41563796976538
320,3.3444816053511705e-05,1076.9417512507794,118679.48250341983,-3.637978807091713e-12,31.415926530162775,31.415637969958393
320,3.411371237458194e-05,1108.2974977893903,125014.3646781191,-3.637978807091713e-12,31.41592653016277,31.41563797015141
320,3.478260869565218e-05,1140.0538894675233,131607.64869293003,-3.637978807091713e-12,31.415926530162768,31.415637970344417
320,3.545150501672241e-05,1172.2175850934627,138445.24986163058,-3.637978807091713e-12,31.415926530162757,31.415637970537425
320,3.612040133779264e-05,1204.504615210386,145490.58913790027,-9.094947017729282e-13,31.415926530162753,31.415637970730437
320,3.678929765886288e-05,1236.8665044225681,152757.09916635806,-1.8189894035458565e-12,31.415926530162753,31.415637970923452
320,3.745819397993311e-05,1269.426542084599,160264.68843935552,-1.8189894035458565e-12,31.415926530162746,31.415637971116464
320,3.8127090301003345e-05,1302.2620627342958,168011.25393907903,-3.637978807091713e-12,31.41592653016274,31.415637971309472
320,3.879598662207358e-05,1335.3983505813662,176001.68523865892,-7.275957614183426e-12,31.41592653016273,31.41563797150248
320,3.946488294314381e-05,1368.8878706270061,184247.15484702142,-3.637978807091713e-12,31.415926530162725,31.415637971695492
320,4.0133779264214046e-05,1402.65920134411,192691.13430457909,-7.275957614183426e-12,31.41592653016273,31.415637971888497
320,4.080267558528428e-05,1436.5648090192035,201258.0387829264,-3.637978807091713e-12,31.41592653016272,31.41563797208151
320,4.147157190635452e-05,1470.7331709908153,210047.83528627106,-3.637978807091713e-12,31.415926530162718,31.415637972274517
320,4.214046822742475e-05,1504.8254410004383,219137.57283524907,-7.275957614183426e-12,31.41592653016271,31.415637972467525
320,4.2809364548494984e-05,1538.7369745308424,228368.91902766144,-7.275957614183426e-12,31.41592653016271,31.41563797266054
320,4.347826086956522e-05,1572.6829597660405,237642.39060291654,-7.275957614183426e-12,31.415926530162693,31.41563797285355
320,4.414715719063545e-05,1606.750547860678,247030.81893131149,-7.275957614183426e-12,31.415926530162686,31.415637973046557
320,4.4816053511705686e-05,1640.996893202578,256587.2122527196,-7.275957614183426e-12,31.415926530162686,31.41563797323957
320,4.548494983277592e-05,1675.4654692124468,266344.96759980905,-3.637978807091713e-12,31.415926530162686,31.415637973432574
320,4.615384615384616e-05,1710.1898746573206,276326.33487951267,-7.275957614183426e-12,31.415926530162675,31.415637973625586
320,4.682274247491639e-05,1745.0742092435105,286553.64761252527,-3.637978807091713e-12,31.415926530162665,31.41563797381859
320,4.7491638795986624e-05,1780.06855618547,297058.1797055809,-7.275957614183426e-12,31.415926530162665,31.415637974011602
320,4.816053511705686e-05,1814.5371012797718,307860.81925942254,-7.275957614183426e-12,31.415926530162658,31.41563797420461
320,4.882943143812709e-05,1848.8429157786588,318997.39383426134,-3.637978807091713e-12,31.415926530162654,31.41563797439762
320,4.9498327759197325e-05,1883.1554874444832,330445.47345078236,-3.637978807091713e-12,31.415926530162658,31.415637974590624
320,5.016722408026756e-05,1917.5325051295797,342171.04971438914,-1.8189894035458565e-12,31.41592653016263,31.415637974783635
320,5.083612040133779e-05,1951.9486550649658,354163.77798159595,-3.637978807091713e-12,31.41592653016263,31.41563797497664
320,5.150501672240803e-05,1986.451138604828,366432.123592466,-3.637978807091713e-12,31.41592653016263,31.415637975169656
320,5.217391304347826e-05,2021.109139337018,378969.9083116949,-7.275957614183426e-12,31.41592653016263,31.415637975362664
320,5.28428093645485e-05,2055.9871544465245,391769.3616837044,-1.4551915228366852e-11,31.415926530162615,31.415637975555672
320,5.351170568561873e-05,2091.1236238518295,405399.2788394897,-7.275957614183426e-12,31.415926530162608,31.415637975748673
320,5.4180602006688965e-05,2126.5476956696393,419367.8637606902,-7.275957614183426e-12,31.415926530162604,31.41563797594168
320,5.48494983277592e-05,2162.2821756225485,433563.8205143645,-3.637978807091713e-12,31.415926530162597,31.41563797613469
320,5.551839464882943e-05,2197.921672491175,447816.4614014866,-7.275957614183426e-12,31.41592653016259,31.415637976327695
320,5.6187290969899666e-05,2232.4629295780956,460815.11964830186,-1.4551915228366852e-11,31.41592653016259,31.415637976520703
320,5.68561872909699e-05,2266.614101773539,473181.3455114707,-7.275957614183426e-12,31.415926530162583,31.41563797671371
320,5.752508361204013e-05,2300.607455224018,485278.7563498622,-5.820766091346741e-11,31.415926530162583,31.41563797690672
320,5.819397993311037e-05,2334.560783964577,497206.61333826697,-2.9103830456733704e-11,31.415926530162576,31.41563797709972
320,5.8862876254180604e-05,2368.0793074446433,508730.6734375525,-1.4551915228366852e-11,31.415926530162572,31.415637977292732
320,5.953177257525084e-05,2401.204998649048,519754.0281479157,-5.4569682106375694e-12,31.415926530162565,31.415637977485737
320,6e-05,2424.343073347711,527309.027058189,-1.4551915228366852e-11,31.415926530162558,31.415637977620843
320,6.020066889632107e-05,2434.237010263231,530507.8992095449,-5.4569682106375694e-12,31.415926530162558,31.415637977678742
320,6.0869565217391306e-05,2466.9069057898496,540923.8718324273,-1.4551915228366852e-11,31.415926530162547,31.415637977871743
320,6.153846153846154e-05,2498.483156499456,548531.3117772604,-2.9103830456733704e-11,31.415926530162547,31.41563797806475
320,6.220735785953177e-05,2528.8104440616708,554149.2253456106,-5.820766091346741e-11,31.41592653016254,31.41563797825776
320,6.287625418060201e-05,2558.737634576784,559650.1929405918,-2.9103830456733704e-11,31.415926530162533,31.415637978450764
320,6.354515050167224e-05,2588.419329484647,570166.2555081843,-1.4551915228366852e-11,31.41592653016253,31.415637978643772
320,6.421404682274248e-05,2617.9299770834373,580587.3905855047,-1.4551915228366852e-11,31.41592653016253,31.41563797883678
320,6.488294314381272e-05,2643.778726664835,590622.4103325863,-2.9103830456733704e-11,31.415926530162512,31.41563797902978
320,6.555183946488294e-05,2666.784033656559,599781.3195688012,-2.9103830456733704e-11,31.415926530162512,31.41563797922279
320,6.622073578595317e-05,2688.2344463771396,608341.8858658918,-2.9103830456733704e-11,31.4159265301625,31.415637979415795
320,6.688963210702341e-05,2708.486620661402,616492.8145629615,-1.4551915228366852e-11,31.415926530162498,31.415637979608796
320,6.755852842809365e-05,2727.743646614528,624335.3514418816,-2.9103830456733704e-11,31.415926530162494,31.4156379798018
320,6.822742474916388e-05,2745.525604742732,631890.1490907574,-5.820766091346741e-11,31.415926530162494,31.415637979994806
320,6.889632107023412e-05,2761.871322247597,639064.1828089807,-2.9103830456733704e-11,31.415926530162483,31.41563798018781
320,6.956521739130436e-05,2776.9868361603985,645951.7405306182,-3.228706191293895e-11,31.41592653016248,31.41563798038082
