t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,d_min,overlap,m_center,E_sym,drift_resolution_number,R05_c0,R09_c0,c0_x,c0_y,c0_z,R05_c1,R09_c1,c1_x,c1_y,c1_z,R05_c2,R09_c2,c2_x,c2_y,c2_z,R05_c3,R09_c3,c3_x,c3_y,c3_z
0.84,0,40000,22835,320.0,182.68,181.85263250269452,0.0,22.325717010902785,22835,2.593150581178267,9.782808384730748,0.368,0.031174376835410175,0.09536239635826468,0.13665136428884606,0.26426962037835444,0.9457844776266127,0.893075879902189,1.0404388768407102,0.1398063394292008,0.27354035239932795,1.0294630680110881,-1.0374311238790863,-1.017269131997299,0.13064336851886435,0.24689525220825076,-0.8396680157740324,1.1175133286711816,-1.0156855485471157,0.12842083984690306,0.2626475227162619,-0.8980147026516079,-0.9254299362521499,0.9067559830831806
0.88,0,40000,23519,320.0,188.15200000000002,187.26946826189396,0.0,24.0422448363253,23519,2.61132589944498,10.295418476954369,0.28,0.02841039847046064,0.09849096958367726,0.12401999658848037,0.23593158327147956,0.9791534818115659,0.8894512729576372,1.0193483976657483,0.12763325157734867,0.25015889335628255,1.0138798093622956,-1.0702891268960073,-1.0370138011649601,0.12962161448300552,0.24580081705200083,-0.7974119126266688,1.09653513946179,-1.0128573829564065,0.1296196107077422,0.26412739425257226,-0.8970782628277583,-0.9230338021912807,0.9024071907186917
0.92,0,40000,24211,320.0,193.68800000000002,192.4739068529555,0.0,23.703958274572894,24211,2.6268642048700475,10.680562878897533,0.272,0.02851713643102068,0.09761819687866306,0.12105518436148782,0.23170238670713172,0.9724290350135023,0.9037280883981014,1.043341812440528,0.12696113136247966,0.24355871279022717,1.0033643114800377,-1.079539295863511,-1.0377338991791394,0.1269438896100717,0.23473201248636089,-0.7947983852065494,1.0858420089468064,-1.0107574090138707,0.12489292105720314,0.24826317090037578,-0.9148779692490034,-0.9167726113445411,0.8875694633994309
0.96,0,40000,24857,320.0,198.856,197.47427648796418,0.0,22.729812314808868,24857,2.609249658212623,10.153143569426001,0.224,0.031324318099954444,0.09377396242357754,0.1260585747947388,0.2371233555587498,0.9820147216431616,0.9174962451722939,1.0650447202752957,0.13295998861322256,0.25505195902101924,1.0276466061414906,-1.0760118336496571,-1.0152589205382565,0.12652022932479318,0.23389767513606352,-0.791731953345729,1.0606320207208064,-1.0267396261965906,0.13093076455330455,0.25829010408504727,-0.8704384843405784,-0.9104913113876067,0.8777951766565835
1.0,0,40000,25447,320.0,203.576,202.27857882513845,0.0,23.716568446785388,25447,2.632392348517366,10.583300500911067,0.256,0.02830234984123696,0.09502306962182035,0.12353996893064545,0.22965702818076056,0.9868381431931388,0.9147359936875361,1.1052689177358497,0.12972583283775307,0.2535834525177082,1.0439863326691414,-1.0669558932120289,-0.9927265530534264,0.12919415166725387,0.23965432050329602,-0.7430681222895981,1.0404668023666526,-1.0143634355491553,0.12496243015648441,0.2522955141910976,-0.8960021229197057,-0.9100908431545083,0.872011496893669
1.04,0,40000,26032,320.0,208.256,206.89450177319034,0.0,24.411270935125536,26032,2.6231647809962175,10.604503814092071,0.24,0.031704935616886615,0.10102039997393378,0.1207728129947882,0.22815317265882704,1.011057633769041,0.8953385665470428,1.1122329474712682,0.1258698003331617,0.2407747973415669,1.044367141077851,-1.080656552408393,-1.0251056587439509,0.12546411658106937,0.2304873336414924,-0.7347086959860212,1.0533919274632186,-1.0228352051875174,0.12659046085404163,0.2522035809566651,-0.9010537754473642,-0.88319373038079,0.8639462265456501
1.08,0,40000,26654,320.0,213.232,211.32943179361948,0.0,23.850489042902986,26654,2.5785766485210737,10.340545121022512,0.224,0.037112060947253785,0.11002513997977642,0.11537162894937772,0.21486443493137014,0.9812561557573298,0.8932142204007327,1.1328223095157943,0.13718903785064795,0.2594625185143087,1.0406864493669978,-1.0566316957743398,-1.0188510708614302,0.12876680005775346,0.2364950417076528,-0.749340653420628,1.0738181156556035,-1.065238179861268,0.1221323299558093,0.23689167299178188,-0.8795509251234472,-0.8682214506792549,0.843341884116894
1.12,0,40000,27212,320.0,217.696,215.59046572062738,0.0,23.275764696416644,27212,2.5739865488633105,10.277412412359764,0.216,0.04014850440857239,0.09610995229726077,0.12530927554224092,0.23494164361199849,0.9800319381128997,0.8873266705308378,1.1462253704545562,0.13697143151395913,0.266398479563025,1.0122295914856938,-1.0748756725227073,-0.998123800190295,0.12722103451352149,0.23118306355634696,-0.7751780333660951,1.059123258055945,-1.0747053753589109,0.12167898662374944,0.23502878453572168,-0.8817594358346046,-0.8661159421744502,0.8554013040962616
1.16,0,40000,27626,320.0,221.008,219.68442211756633,0.0,23.55215625063429,27626,2.522393722243413,9.755297664144367,0.16,0.04018864546638167,0.09329225876910745,0.13174841820615013,0.2504357547789262,0.951648972292074,0.8366083395427566,1.1444839489778005,0.12965364928479778,0.2487954208422856,1.0445580682044442,-1.0305607904213856,-1.0066116044856095,0.132432240761711,0.24468171574208616,-0.7705560667499975,1.0720759385798706,-1.0980068378254373,0.12681813804712352,0.24487938235835455,-0.8835315266203603,-0.876211548312928,0.8978452290035639
1.2,0,40000,28054,320.0,224.43200000000002,223.61785218809533,0.0,22.66661444675793,28054,2.556949172140287,9.856886777330487,0.128,0.03778357614972068,0.09126266047379385,0.12939515237792973,0.23840981816517068,0.9542640391490673,0.8449836178119323,1.150610376325794,0.13609876722034098,0.257224419871266,1.015380783676818,-1.036887932226497,-1.0255811962578214,0.1288293816312516,0.23693680568372671,-0.8053138145697929,1.0853069913714757,-1.0686475470840424,0.13001222744720184,0.25589479667554,-0.90386505378022,-0.8977889657334295,0.9313181854905812
1.24,0,40000,28567,320.0,228.536,227.39705025950377,0.0,23.2771576755613,28567,2.561454760665366,10.321863232768967,0.112,0.03988701224967482,0.09496542679338608,0.12276462984620182,0.22807996542185136,0.961776641151098,0.8415588068640236,1.1774457473764928,0.12926011645876018,0.24687338683728083,1.0517198467024746,-1.0542607075258665,-1.0056462247874087,0.12980785698242006,0.24106454084385814,-0.7813728111971301,1.0734434795536894,-1.085044116136328,0.12539354691915958,0.24311541834491915,-0.8809421542134475,-0.9232441185905742,0.9518164796553004
1.28,0,40000,29047,320.0,232.376,231.02806385497786,0.0,24.924775017311347,29047,2.576646821044295,10.63374244890338,0.12,0.03927777738914022,0.1019621027363482,0.11947773063046302,0.222212731151375,0.9603621532205606,0.8626854227787408,1.1941623632525058,0.12515754000029342,0.23723623835341645,1.0353477331405934,-1.05494254659751,-1.025329342295528,0.13013348001149388,0.24049518606942555,-0.7956737682666599,1.0654856283363916,-1.0449265323089598,0.12283082944849728,0.23611041736234262,-0.884309093684962,-0.9198550069410674,0.951579495654614
1.32,0,40000,29459,320.0,235.672,234.5167033709279,0.0,22.94240929566453,29459,2.5702447989828885,9.875234010508906,0.16,0.03852807108439454,0.09575738001800994,0.1394656298497527,0.260159152221277,0.9375059675560236,0.8592763714500489,1.170091252250315,0.12903416936515494,0.23993146314839084,1.0306943851206745,-1.054952443126183,-1.0392810818205023,0.12778470142668485,0.23402611943409915,-0.806123188473105,1.0855755351050576,-1.030338223502465,0.12080615674768051,0.22736424243835868,-0.8995902392062121,-0.9231083689549102,0.9369807827944348
1.36,0,40000,29860,320.0,238.88,237.86855137486214,0.0,23.876094815314225,29860,2.502432789415884,9.824368843548385,0.16,0.04206388925205795,0.10304112411669515,0.1255652778979551,0.23265248162124783,0.9022476344796306,0.8285005368361551,1.1538178671126307,0.12281253438413828,0.23301730288891093,1.0444524240965496,-1.039355576052019,-1.02902214310956,0.13195523729996628,0.2474414063846332,-0.7714604472552029,1.0796621355018292,-1.0035746627378348,0.12915162343858416,0.24687891953644994,-0.9065840702481278,-0.8877223602516136,0.9419766600090584
