seed,d,method,t,total_mass,moment_m,local_mass_B,N_active,N_local_B,global_nESS,local_nESS_B,max_w_over_mean_w,runtime_s
2,4,weighted,0.2,1.1919507576915271,0.5329667548264139,0.515274976852357,20000,7371,0.9754650855277501,0.9937480225767464,1.4270399973348782,15.68328309059143
2,4,poisson,0.2,1.18915,0.5310387925746584,0.51435,23783,10287,nan,nan,nan,15.68328309059143
2,4,minvar,0.2,1.19385,0.5344888796602855,0.5168,23877,10336,nan,nan,nan,15.68328309059143
2,4,weighted,0.3,1.2798905188534337,0.5834981540605,0.5751290385464776,20000,7182,0.9510088920245616,0.9872385422301179,1.646643769645896,15.68328309059143
2,4,poisson,0.3,1.2758,0.5810980977032434,0.5708,25516,11416,nan,nan,nan,15.68328309059143
2,4,minvar,0.3,1.2814,0.585302681644524,0.5787,25628,11574,nan,nan,nan,15.68328309059143
2,4,weighted,0.4,1.3589470328688773,0.6275894225327744,0.6267626595104772,20000,6969,0.9229524696355492,0.9789408671730635,1.869493698730102,15.68328309059143
2,4,poisson,0.4,1.35825,0.6258750620011788,0.6245,27165,12490,nan,nan,nan,15.68328309059143
2,4,minvar,0.4,1.3597,0.6291127553537069,0.63135,27194,12627,nan,nan,nan,15.68328309059143
2,4,weighted,0.5,1.4280751656616135,0.6638445842824044,0.669909764325602,20000,6738,0.8934161721557161,0.969725221817523,2.0927384319884133,15.68328309059143
2,4,poisson,0.5,1.42675,0.6606260330851693,0.6638,28535,13276,nan,nan,nan,15.68328309059143
2,4,minvar,0.5,1.42905,0.6654710940112699,0.6742,28581,13484,nan,nan,nan,15.68328309059143
2,4,weighted,0.6,1.4875556591139325,0.6912370110660833,0.7026005849898914,20000,6465,0.8635493293450605,0.9602782163788258,2.311353111865875,15.68328309059143
2,4,poisson,0.6,1.48785,0.6893191824667448,0.6977,29757,13954,nan,nan,nan,15.68328309059143
2,4,minvar,0.6,1.48795,0.693406056144744,0.70625,29759,14125,nan,nan,nan,15.68328309059143
2,4,weighted,0.7000000000000001,1.538499311759091,0.7128922785829757,0.7221347788738399,20000,6127,0.8338426523346314,0.9506683532001781,2.538380116206956,15.68328309059143
