seed,d,method,t,step,total_mass,M_v_chem,c_inf_grid,rho_inf_grid,c_inf_part,rho_inf_part,R_core_0p5,R_core_0p9,xc0,xc1,xc2,N_active,global_nESS,max_w_over_mean_w,N_local_B,local_ESS_B,local_mass_B,corr_r_c,corr_r_rho,mean_Sc,mean_Srho,mean_r,mean_Sc_in,mean_Sc_out,mean_r_in,mean_r_out,frac_mass_rpos,frac_mass_rneg,cfl_proxy,n_resample_events,mass_jump_resample,runtime_s
1,6,weighted_resample,0.2,100,1.0763761033058035,1.0763761033058035,0.08657618937543564,0.5283525819494773,0.090585463621147,0.5753447450606829,0.767618939751219,1.2652246224895394,0.00285938178860236,0.006022552910690631,0.008043562063620386,12000,0.9995839847991885,1.0596909763002889,4685,0.999639770225389,0.4273981698594557,0.8196159090198182,0.8884172761257476,0.5210232119234463,0.4213326415960244,0.4200949229057117,0.6755523574433111,0.36644431117852505,0.49638661673043816,0.34377866471558083,1.0,0.0,0.007434249408098125,0,0.0,13457.308094263077
1,6,poisson,0.2,100,1.0754166666666667,1.0754166666666667,0.0866147001665513,0.5250914946939615,0.09057859180681511,0.5749159960497038,0.7640843567622667,1.2674560844028366,0.003029853364788123,0.007498894352994327,0.007332125496334436,12905,1.0,1.0,5139,1.0,0.42825,0.8135256687574939,0.8812950054914346,0.5208845415110688,0.4214412594731694,0.41921438762476704,0.675605615108951,0.36613948758559844,0.49485771327332995,0.34355933796416954,1.0,0.0,0.006173611871158595,0,0.0,13457.308094263077
1,6,minvar,0.2,100,1.079,1.079,0.08665392540970583,0.5292629497125013,0.0908605598156568,0.5799317495808729,0.7682025684578082,1.2687888151911488,0.004517900399122834,0.007374831312738361,0.008918130386471072,12948,1.0,1.0,5050,1.0,0.42083333333333334,0.8268021014254939,0.8887775859903538,0.5208891891565502,0.42051308389318104,0.4220175049466577,0.6763895515053999,0.36538882680770046,0.49888426850939993,0.3451507413839154,1.0,0.0,0.006583115005837743,0,0.0,13457.308094263077
1,6,weighted,0.3,150,1.1258835027271685,1.1258835027271685,0.09144289636984111,0.5730510232672515,0.09575653408008704,0.625820318917427,0.7640080390839105,1.2718782613796054,0.0026426587981829485,0.0060379928219259135,0.00830450004428811,12000,0.998998944323418,1.0913307910158139,4682,0.9991933042922084,0.45125026864448226,0.8963980969851356,0.9296197814333155,0.5431259124405641,0.4301405988599983,0.4820818531822614,0.706198078676731,0.38002625500451476,0.5734342008988055,0.39071410501014747,1.0,0.0,0.006373032793115031,0,0.0,13457.308094263077
1,6,weighted_resample,0.3,150,1.1258835027271685,1.1258835027271685,0.09144289636984111,0.5730510232672515,0.09575653408008704,0.625820318917427,0.7640080390839105,1.2718782613796054,0.0026426587981829485,0.0060379928219259135,0.00830450004428811,12000,0.998998944323418,1.0913307910158139,4682,0.9991933042922084,0.45125026864448226,0.8963980969851356,0.9296197814333155,0.5431259124405641,0.4301405988599983,0.4820818531822614,0.706198078676731,0.38002625500451476,0.5734342008988055,0.39071410501014747,1.0,0.0,0.006373032793115031,0,0.0,13457.308094263077
1,6,poisson,0.3,150,1.12625,1.12625,0.09205283051852602,0.5795017113560943,0.09645296169254183,0.636863822669946,0.7577128474535052,1.2756907527496533,0.002280343610751235,0.006340960037107537,0.007851892059026916,13515,1.0,1.0,5494,1.0,0.4578333333333333,0.895995973623444,0.9242358049956642,0.5451307713897671,0.4313209091624142,0.4865603580718255,0.7100925431447689,0.38014458617143015,0.5774875340804942,0.39561972532555,1.0,0.0,0.006326904279918164,0,0.0,13457.308094263077
1,6,minvar,0.3,150,1.1238333333333332,1.1238333333333332,0.09124860723060342,0.572539482443633,0.09584106503462853,0.633282238763177,0.7667715783786876,1.275908462350506,0.006726601443510488,0.006363520845181432,0.00877013561548786,13486,1.0,1.0,5363,1.0,0.4469166666666667,0.8924537642285949,0.9177844165903923,0.5409348860445952,0.42826953743885854,0.4789309318618051,0.7051441746643893,0.37672559742480116,0.5694077550482993,0.38845410867531094,1.0,0.0,0.007252944908286875,0,0.0,13457.308094263077
1,6,weighted,0.4,200,1.1856059603553792,1.1856059603553792,0.09742423489412257,0.6267898443244972,0.10229415197097275,0.6920556024826445,0.7597732728697444,1.2742473275571762,0.001775909246064495,0.006204096790498444,0.008649574539864537,12000,0.9980840306651122,1.122989577098283,4692,0.9985891699630464,0.4816077874386765,0.9421600231339572,0.932609232797158,0.5693248348806255,0.440774032431619,0.5549772422276451,0.7414317052630587,0.39720905523981404,0.6612768167155222,0.4486721650519759,1.0,0.0,0.006387666806987566,0,0.0,13457.308094263077
1,6,weighted_resample,0.4,200,1.1856059603553792,1.1856059603553792,0.09742423489412257,0.6267898443244972,0.10229415197097275,0.6920556024826445,0.7597732728697444,1.2742473275571762,0.001775909246064495,0.006204096790498444,0.008649574539864537,12000,0.9980840306651122,1.122989577098283,4692,0.9985891699630464,0.4816077874386765,0.9421600231339572,0.932609232797158,0.5693248348806255,0.440774032431619,0.5549772422276451,0.7414317052630587,0.39720905523981404,0.6612768167155222,0.4486721650519759,1.0,0.0,0.006387666806987566,0,0.0,13457.308094263077
1,6,poisson,0.4,200,1.1880833333333334,1.1880833333333334,0.09840576079992021,0.6372472649977541,0.10324026535541844,0.7041954437301889,0.7515207095441002,1.2849846854929163,0.0016621254361925061,0.006901219939202169,0.007111261781018879,14257,1.0,1.0,5888,1.0,0.49066666666666664,0.9398768858515192,0.9226213577760427,0.5730826047217004,0.4427920041988131,0.5639544062903622,0.7481379501707847,0.3980027004418853,0.6696976408739546,0.4581963367973164,1.0,0.0,0.006553448792777557,0,0.0,13457.308094263077
1,6,minvar,0.4,200,1.1846666666666668,1.1846666666666668,0.09730052608450977,0.6258620731635074,0.10234820545221714,0.6962232914826009,0.7574289503304199,1.286685416951693,0.007210946758624289,0.008416356060433627,0.010072200044238318,14216,1.0,1.0,5726,1.0,0.4771666666666667,0.936834591195192,0.9190973405494682,0.5676270703318388,0.4390438698713065,0.5533766717134357,0.7415895278425209,0.39366461282115683,0.6587628224877058,0.4479905209391656,1.0,0.0,0.006534612582562975,0,0.0,13457.308094263077
1,6,weighted,0.5,250,1.2583340818082387,1.2583340818082387,0.1047558121184334,0.6912093135649624,0.11018885425186128,0.7675840929474127,0.7546182819530366,1.2788656624632029,0.000746936046672792,0.006362211479566429,0.00890531374950484,12000,0.9967663115847172,1.1528141630840554,4772,0.99788474801541,0.5259054839271505,0.9539570592525398,0.8960687463175959,0.6000066995831551,0.45358189429040485,0.6392811154614055,0.7809290485852319,0.4190642782696057,0.7582932089749491,0.5202558182291221,1.0,0.0,0.006398785229454362,0,0.0,13457.308094263077
