seed,method,m,group,is_late,amplitude,local_eff,E_m,local_L2
3,minvar_branch,7,3,1,1.0,1844.0,0.06746492130193098,0.17622776428975287
3,minvar_branch,8,0,0,1.0,764.0,0.014745289658168645,0.2254731541167118
3,minvar_branch,9,1,0,1.0,1099.0,0.17038459540290024,0.2886944636451651
3,minvar_branch,10,0,0,1.0,904.0,0.2006933793861057,0.2887390898566943
3,minvar_branch,11,1,0,1.0,863.0,0.0809445806799792,0.2390323334357381
3,minvar_branch,12,2,0,1.0,2526.0,0.39972231085695015,0.4852923585107403
3,minvar_branch,13,3,1,1.0,2807.0,0.4195368578663091,0.5399035157341162
3,minvar_branch,14,2,0,1.0,1428.0,0.20870805229464567,0.2546794021134143
3,minvar_branch,15,3,1,1.0,1533.0,0.22474171602812537,0.31194031654854393
3,weighted,0,0,0,1.0,24.516623574828905,0.03456995519499981,1.1262074890054312
3,weighted,1,1,0,1.0,25.983765261181485,0.23971127212786653,1.1348839316230057
3,weighted,2,0,0,1.0,24.058028903427438,0.0308659655009319,1.218649324941271
3,weighted,3,1,0,1.0,35.249530979161,0.3261456235684526,1.534968724873624
3,weighted,4,2,0,1.0,31.944436818683485,0.04331764895808222,1.3302332707303748
3,weighted,5,3,1,1.0,31.96864248608267,0.18807735740395154,0.7777161996199248
3,weighted,6,2,0,1.0,29.834824333880036,0.045111056254469414,1.0676018409198453
3,weighted,7,3,1,1.0,36.521442836097364,0.014085236411222732,0.992383539521341
3,weighted,8,0,0,1.0,20.89984436050494,0.0223756678355316,1.0800677134829264
3,weighted,9,1,0,1.0,30.74239509841008,0.2578388044344931,1.615587774356649
3,weighted,10,0,0,1.0,24.89149192079611,0.010806717243217915,1.3161960552167953
3,weighted,11,1,0,1.0,29.04110959326437,0.23796928180016952,1.5542827871767513
3,weighted,12,2,0,1.0,27.71763029520204,0.13896747798917172,1.4494486947888436
3,weighted,13,3,1,1.0,44.842392299980155,0.22886871773429437,1.052658194569584
3,weighted,14,2,0,1.0,26.911682125478087,0.05014642763801047,1.1225437729800847
3,weighted,15,3,1,1.0,34.61988395275525,0.18011585647266284,0.8219801802212393
3,weighted_ess_resample,0,0,0,1.0,280.00000000000006,0.13765139688322678,0.32785717280128723
3,weighted_ess_resample,1,1,0,1.0,397.0000000000001,0.01964682722762519,0.24057840512622436
3,weighted_ess_resample,2,0,0,1.0,294.0,0.09453396672738845,0.33006579337323927
3,weighted_ess_resample,3,1,0,1.0,595.9999999999998,0.47176446088749435,0.5465474314078753
3,weighted_ess_resample,4,2,0,1.0,786.9999999999719,0.011218006477052114,0.2985580226945809
3,weighted_ess_resample,5,3,1,1.0,295.59455410516125,0.10447444917354788,0.3640380950975073
3,weighted_ess_resample,6,2,0,1.0,722.9999999999773,0.07101573822317547,0.22173461293034222
3,weighted_ess_resample,7,3,1,1.0,269.48787153969397,0.021179586129751068,0.49175936864844244
3,weighted_ess_resample,8,0,0,1.0,319.99999999999994,0.014458739295116756,0.3303149293641009
3,weighted_ess_resample,9,1,0,1.0,463.00000000000006,0.14333380099146015,0.36882078546947566
3,weighted_ess_resample,10,0,0,1.0,380.9999999999999,0.17341006352675187,0.4630557002279178
3,weighted_ess_resample,11,1,0,1.0,494.9999999999999,0.22235471164313758,0.387263510668034
3,weighted_ess_resample,12,2,0,1.0,1044.9999999999688,0.3427227749473399,0.41714028442032897
3,weighted_ess_resample,13,3,1,1.0,231.41911096428316,0.1765978625511051,0.5136771892158837
3,weighted_ess_resample,14,2,0,1.0,599.9999999999801,0.22905870904086023,0.338278267684179
3,weighted_ess_resample,15,3,1,1.0,239.08929223251187,0.1213912897033446,0.3281814909451563
3,weighted_ess_resample_costmatched,0,0,0,1.0,480.0000000000003,0.11997752971175787,0.31652870737911887
3,weighted_ess_resample_costmatched,1,1,0,1.0,657.0,0.03420464410230674,0.24252209688173942
3,weighted_ess_resample_costmatched,2,0,0,1.0,536.0000000000003,0.01730824151146303,0.2903755326400278
3,weighted_ess_resample_costmatched,3,1,0,1.0,709.0,0.04223577980435994,0.2783997348723686
3,weighted_ess_resample_costmatched,4,2,0,1.0,987.9999999999561,0.24429073356224631,0.3034837797897874
3,weighted_ess_resample_costmatched,5,3,1,1.0,417.41681137150164,0.06291100559296911,0.37213249323055236
3,weighted_ess_resample_costmatched,6,2,0,1.0,1321.9999999999432,0.011181840083374322,0.1804828165503439
3,weighted_ess_resample_costmatched,7,3,1,1.0,469.7958530435328,0.04677095847587992,0.3646737827568041
3,weighted_ess_resample_costmatched,8,0,0,1.0,506.0000000000001,0.07230964590447862,0.23485007640362157
3,weighted_ess_resample_costmatched,9,1,0,1.0,822.0,0.20834670098615535,0.33823988978730873
3,weighted_ess_resample_costmatched,10,0,0,1.0,530.0000000000003,0.028308522390065916,0.3082394997675201
3,weighted_ess_resample_costmatched,11,1,0,1.0,624.0000000000001,0.08271491311999879,0.2414010163971616
3,weighted_ess_resample_costmatched,12,2,0,1.0,1557.999999999936,0.19169540509973704,0.3796942639250583
3,weighted_ess_resample_costmatched,13,3,1,1.0,403.30251057912244,0.09477779685108662,0.2762118064996646
3,weighted_ess_resample_costmatched,14,2,0,1.0,1342.9999999999482,0.02724448701421728,0.17444398416532386
3,weighted_ess_resample_costmatched,15,3,1,1.0,511.15543124843555,0.18593947410389303,0.4108402425215407
4,minvar_branch,0,0,0,1.0,797.0,0.05857591080832552,0.27541805290601806
4,minvar_branch,1,1,0,1.0,965.0,0.027680741186349663,0.23425040570743605
4,minvar_branch,2,0,0,1.0,635.0,0.15659259301971568,0.29471454082355214
4,minvar_branch,3,1,0,1.0,1005.0,0.07027890662412582,0.20731391530711887
4,minvar_branch,4,2,0,1.0,1492.0,0.1732439874114926,0.268210638605711
4,minvar_branch,5,3,1,1.0,1372.0,0.306161535805992,0.3463498191710263
4,minvar_branch,6,2,0,1.0,1416.0,0.21535756446023693,0.28347639570805483
4,minvar_branch,7,3,1,1.0,2425.0,0.22635442833124597,0.341346322831809
4,minvar_branch,8,0,0,1.0,857.0,0.13826794926315522,0.33905042572360183
4,minvar_branch,9,1,0,1.0,908.0,0.03302164456248104,0.22598468119987852
4,minvar_branch,10,0,0,1.0,797.0,0.05857591080832552,0.2461246448451242
4,minvar_branch,11,1,0,1.0,680.0,0.27583118755780517,0.3464015732542604
4,minvar_branch,12,2,0,1.0,1569.0,0.13057628434894908,0.22376033209123716
4,minvar_branch,13,3,1,1.0,1571.0,0.2055246157078833,0.32664987924777544
4,minvar_branch,14,2,0,1.0,1697.0,0.05964815458264272,0.17469855740997564
4,minvar_branch,15,3,1,1.0,1590.0,0.19591606554776206,0.27345224424760833
