seed,method,m,group,is_late,amplitude,cx,cy,M_ref,M_method,E_m,local_L2,local_eff
1,weighted,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,4.939049828757785,0.38650744363341777,1.6734090176072876,35.050377037754295
1,weighted,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,4.716668075481072,0.20839754563967963,1.1361844646314967,34.23531323260783
1,weighted_ess_resample,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.5791254439024607,0.06255293598347783,0.40043872739617226,342.99999999999994
1,weighted_ess_resample,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,2.0303041421603103,0.0953735861895469,0.32412596541432265,441.00000000000006
1,weighted_ess_resample,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.5699177153665864,0.056357292041883146,0.3164599502351767,341.00000000000006
1,weighted_ess_resample,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,1.7816954716917008,0.038753791711213965,0.36023885265190553,386.99999999999994
1,weighted_ess_resample,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.2641439542978845,0.08367802580697906,0.25942544446449606,708.9999999999447
1,weighted_ess_resample,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,4.880335324841374,0.25032865023800915,0.5922586235538745,302.0352838916671
1,weighted_ess_resample,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,3.9501206168827747,0.10889175619742159,0.3014048263643104,857.9999999999403
1,weighted_ess_resample,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,4.792124646562702,0.22772931413350977,0.5101714759596656,306.4792227862119
1,weighted_ess_resample,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.31670518063004,0.11402291635196922,0.35665042599806285,286.0
1,weighted_ess_resample,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.9428307210695035,0.04818061989113154,0.31999781188021525,422.00000000000006
1,weighted_ess_resample,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.4179901945246587,0.045870832994428,0.38345971381947,308.0
1,weighted_ess_resample,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,1.91520753546188,0.03327757790215801,0.35631955289991046,416.0
1,weighted_ess_resample,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,4.309222478937925,0.2097000942431449,0.4193699428719723,935.9999999999342
1,weighted_ess_resample,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,2.8829436719013177,0.2613976642849356,0.5445496455953465,204.68027152222038
1,weighted_ess_resample,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,4.138879348421756,0.16188077137312462,0.29344629622983803,898.9999999999474
1,weighted_ess_resample,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,4.661176019452522,0.1941806316583919,0.6207363017242541,290.71357329813026
1,weighted_ess_resample_costmatched,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.7297734659085116,0.16392011912951812,0.3366404480058344,615.9999999999999
1,weighted_ess_resample_costmatched,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,1.881409451556339,0.015043103763442894,0.25605878563454865,670.0000000000001
1,weighted_ess_resample_costmatched,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.482662970778724,0.002354183603270448,0.29202461409722513,527.9999999999999
1,weighted_ess_resample_costmatched,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,2.215570234743211,0.19532687890948716,0.31487117380208013,789.0000000000001
1,weighted_ess_resample_costmatched,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.5409847258408553,0.005962310486470312,0.18556015849422178,1260.9999999999352
1,weighted_ess_resample_costmatched,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,3.7295925169142556,0.04448853055752892,0.3687023266213939,405.848777324836
1,weighted_ess_resample_costmatched,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,3.5971463545183044,0.009803579493919544,0.15863689698481234,1280.9999999999372
1,weighted_ess_resample_costmatched,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,4.1945394826775075,0.07462961879912809,0.3848329063115899,449.2472567097155
1,weighted_ess_resample_costmatched,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.5023194874367753,0.010872181386837614,0.26609233822437195,534.9999999999999
1,weighted_ess_resample_costmatched,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,1.763470351608031,0.04858646393516079,0.2281580391015666,628.0
1,weighted_ess_resample_costmatched,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.5219760040948267,0.024098546376946132,0.28081742080821265,542.0
1,weighted_ess_resample_costmatched,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,1.6427231778514302,0.11373102134087429,0.2619531959907769,585.0
1,weighted_ess_resample_costmatched,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,3.998701374257396,0.12252951731598115,0.2337916559389557,1423.9999999999338
1,weighted_ess_resample_costmatched,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,4.322525576741569,0.10741930835709762,0.31011565420461185,463.097307843305
1,weighted_ess_resample_costmatched,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,4.186842540081314,0.17534516727153976,0.32004641645941717,1490.99999999993
1,weighted_ess_resample_costmatched,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,2.832715092067792,0.274266089966047,0.38583282082831,322.1727792314295
2,minvar_branch,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.492284185444711,0.004119684530858337,0.23435003283895073,756.0
2,minvar_branch,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,2.323304876016435,0.25345101800656333,0.3666548404020026,1177.0
2,minvar_branch,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.091578246760483,0.26550504557465004,0.3580317043793684,553.0
2,minvar_branch,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,1.8002158427586992,0.02876182801870367,0.22664341327224774,912.0
2,minvar_branch,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,3.5214748503086835,0.011439191382106317,0.15365611172557053,1784.0
2,minvar_branch,5,3,1,1.0,-0.7853981633974483,-0.7853981633974483,3.9032420187383265,3.004307579691601,0.23030456085766748,0.35623276910756807,1522.0
2,minvar_branch,6,2,0,1.0,0.7853981633974483,-0.7853981633974483,3.562223810219683,3.217491034755131,0.0967745975071937,0.16659596720150452,1630.0
2,minvar_branch,7,3,1,1.0,2.356194490192345,-0.7853981633974483,3.903242018738327,4.135364244056442,0.0594690834449321,0.2754678296465152,2095.0
