seed,method,N0,Nact_final,particle_steps,global_rel_L2,global_nESS,max_mean_weight,mean_Em,max_Em,num_Em_gt_20pct,mean_late_Em,max_late_Em,num_late_gt_20pct,max_late_localL2,min_local_eff,min_late_local_eff,n_resamples
2,weighted_ess_resample,20000,20000,24000000,0.49375528697013626,0.842374132476348,3.695883220588906,0.1380918496578951,0.3660037768717796,4,0.10759051558726612,0.2157412103337537,1,0.497009768632647,210.7117739941536,210.7117739941536,4
2,weighted_ess_resample_costmatched,32027,32027,38432400,0.38922198208613773,0.8728850853512383,3.343356244523127,0.10808707617627135,0.2167590018896131,2,0.11722277039826703,0.16585331151123794,0,0.4642226488912299,406.7494441044392,406.7494441044392,4
3,minvar_branch,20000,52745,39413602,0.36226373952980945,1.0,1.0,0.19846950556255388,0.43949932953436216,7,0.2111352469395028,0.4195368578663091,2,0.5399035157341162,422.0,1533.0,0
3,weighted,20000,20000,24000000,1.233544958139831,0.09292003914561747,53.6235330846534,0.12806081666047053,0.3261456235684526,5,0.15278679200553286,0.22886871773429437,1,1.052658194569584,20.89984436050494,31.96864248608267,0
3,weighted_ess_resample,20000,20000,24000000,0.46248138635576364,0.8448934563747402,3.607447752455601,0.1471757739642736,0.47176446088749435,4,0.10591079688943716,0.1765978625511051,0,0.5136771892158837,231.41911096428316,231.41911096428316,4
3,weighted_ess_resample_costmatched,32845,32845,39414000,0.36882701860539485,0.8253441945713076,3.654482126312792,0.09188860489462436,0.24429073356224631,2,0.09759980875595717,0.18593947410389303,0,0.4108402425215407,403.30251057912244,403.30251057912244,4
4,minvar_branch,20000,49343,38819350,0.3261392996611406,1.0,1.0,0.14572546750165552,0.306161535805992,5,0.23348916134822081,0.306161535805992,3,0.3463498191710263,635.0,1372.0,0
4,weighted,20000,20000,24000000,1.213716140933135,0.08941796232476316,52.03478212620013,0.10428237646836298,0.2897919510457654,3,0.06658989262416068,0.17107260720950956,0,1.119816781846589,17.10202461514266,30.873526917592244,0
4,weighted_ess_resample,20000,20000,24000000,0.46457074983674174,0.8491738783031278,3.4707816427162013,0.11784487804070323,0.2431456544238295,2,0.11849041797221098,0.2398596253640894,1,0.5163041261037123,221.13962542014352,221.13962542014352,4
4,weighted_ess_resample_costmatched,32349,32349,38818800,0.3723277633963798,0.8524326091602712,3.45804844480727,0.08681660099534436,0.2625220557435915,1,0.1327418774875273,0.2625220557435915,1,0.4614060168736558,358.1462760932953,358.1462760932953,4
5,minvar_branch,20000,51683,39197830,0.43184964964030104,1.0,1.0,0.1867308108208574,0.7118390680005225,6,0.35296389689183183,0.7118390680005225,4,0.9437754661877403,591.0,1457.0,0
5,weighted,20000,20000,24000000,1.1640278541298792,0.08930966910048566,50.8990170003741,0.12694084789517152,0.33757113643240466,4,0.1321475269436511,0.2671538904043186,2,1.080700795071036,19.18813158914772,25.53687771110647,0
5,weighted_ess_resample,20000,20000,24000000,0.5060477624345969,0.8370007308671686,3.633808590581401,0.10777170117953021,0.20658174436985588,1,0.15058050655176003,0.19885903211392267,0,0.6211142930294802,233.09047359880452,233.09047359880452,4
5,weighted_ess_resample_costmatched,32665,32665,39198000,0.34883890353599706,0.8266865864182075,3.7432989002530137,0.08219685324993886,0.19976138336597113,0,0.11473651754652911,0.187469012984774,0,0.3836027797353679,360.89036223385125,360.89036223385125,4
6,minvar_branch,20000,50613,39341696,0.3581148055385013,1.0,1.0,0.16444037114608767,0.4180197183673457,6,0.2738197863624133,0.4180197183673457,2,0.5422555242137762,699.0,1216.0,0
6,weighted,20000,20000,24000000,1.1927388880830119,0.09122097976436992,55.755195732095466,0.17780673041350614,0.46157583600918356,5,0.17062374831247734,0.2945935843300678,1,1.1582063248836576,18.300822833661417,29.430814942768944,0
6,weighted_ess_resample,20000,20000,24000000,0.5199987598444311,0.7960703225245582,3.9574083524943977,0.1433356827259937,0.341897850320421,5,0.30594399308091735,0.341897850320421,4,0.6337981192093899,179.0281638902076,179.0281638902076,4
6,weighted_ess_resample_costmatched,32785,32785,39342000,0.39778934784458003,0.8847438424128671,3.281233396539567,0.11329104090553449,0.2536189029726322,3,0.1868692295422197,0.23089968496371263,2,0.47858771281591683,386.6567830834774,386.6567830834774,4
7,minvar_branch,20000,51988,39412496,0.28467338796312686,1.0,1.0,0.07299479147449292,0.24124227091035946,1,0.03251596413723793,0.0711004862703419,0,0.29473158287322193,681.0,1930.0,0
7,weighted,20000,20000,24000000,1.1839117293226793,0.08698406991335952,51.19957073490311,0.14281727293703872,0.27963451334628425,5,0.17074340617311204,0.25674679541033735,1,1.1592119520061537,21.911591647320552,25.754612863973108,0
7,weighted_ess_resample,20000,20000,24000000,0.5086414771312958,0.8207863411975879,3.767840791312038,0.15986790191484887,0.4386034513318888,4,0.2096480468308434,0.4386034513318888,1,0.7095168190820555,205.42772164556732,205.42772164556732,4
7,weighted_ess_resample_costmatched,32844,32844,39412800,0.4265488261219879,0.8585339711821971,3.3996282540065486,0.11856390516456347,0.30640039357385646,4,0.13572093883200714,0.2394806453195262,1,0.5381569015656669,370.80194606346726,370.80194606346726,4
