seed,method,t,total_mass,L1_err,L2_rel_err,peak_height,peak_height_err,peak_loc_err,local_mass_B,local_mass_B_err,global_nESS,local_nESS_B,max_w_over_mean_w,N_active,N_local_B,runtime_s
2,weighted,0.736,85.0599554779152,21.138894158531112,0.18347916292100414,126.27261636744126,4.079959307548734,0.08849354218077296,55.01363674637194,1.0065445536129616,0.0442738382897332,0.5591271142082657,69.42285513210689,20000,nan,86.04856991767883
2,poisson,0.736,83.02197492125218,10.27328281132368,0.08134262702340682,125.88508766061535,4.467488014374638,0.0,52.835064279895306,3.185117020089592,nan,nan,nan,41239,26296,86.04856991767883
2,minvar,0.736,83.27765015137413,8.65157244700682,0.05729336693333026,130.93737660947346,0.5848009344834679,0.0,54.02535751012447,1.9948237898604262,nan,nan,nan,41366,26859,86.04856991767883
2,weighted,0.788,103.13173237033796,31.498850984524722,0.2003780632958067,163.90151960891959,10.150684749878934,0.06942004590872423,71.13462884948623,2.0958407966024026,0.03612619723007648,0.5361842941124189,80.6789750936054,20000,nan,86.04856991767883
2,poisson,0.788,100.23072978016883,11.649505445500312,0.07674590309310825,165.26825831138046,8.783946047418056,0.0,68.6711833663082,4.559286279780437,nan,nan,nan,49787,34179,86.04856991767883
2,minvar,0.788,100.82663425352392,9.743871564341076,0.05728357218698209,174.16396540348774,0.11176104468921721,0.024543692606170175,70.31750123067782,2.912968415410816,nan,nan,nan,50083,34920,86.04856991767883
2,weighted,0.842,128.02005670904478,44.63982859172165,0.2190227877066444,242.03002435758884,7.441728040086389,0.10119623705793127,94.61052439663581,2.2127832696312453,0.03018678473569452,0.4981450735962591,94.17876100546239,20000,nan,86.04856991767883
2,poisson,0.842,124.35882137868496,13.269800501694311,0.07498656408735847,222.75297365630746,11.835322661194994,0.03471002295436212,90.9280097855657,5.895297880701349,nan,nan,nan,61772,45142,86.04856991767883
2,minvar,0.842,124.88627736523578,10.49389921868141,0.053390678803299986,230.75573383324135,3.8325624842611035,0.024543692606170175,92.42769567328911,4.395611992977948,nan,nan,nan,62034,45906,86.04856991767883
2,weighted,0.894,159.77392375619954,55.99124366666866,0.20605553237822824,326.8052658048377,14.564554994101456,0.08849354218077296,124.95568253495269,1.8611750095977442,0.02600245807384447,0.4753149177436527,108.1299811888491,20000,nan,86.04856991767883
