seed,method,t,L2_rel_err
6,weighted_ess,0.63,0.10864459831930606
6,weighted_ess,0.684,0.09490404639816034
6,weighted_ess,0.736,0.10000769927798915
6,weighted_ess,0.788,0.09561972502298653
6,weighted_ess,0.842,0.09127157650018512
6,weighted_ess,0.894,0.09177715178951501
6,weighted_ess,0.9460000000000001,0.09536618197501895
6,weighted_ess,1.0,0.09427886882482596
7,weighted_ess,0.0,0.21575509663657683
7,weighted_ess,0.052000000000000005,0.22336017833635968
7,weighted_ess,0.10400000000000001,0.22118606318653386
7,weighted_ess,0.156,0.2178287604974682
7,weighted_ess,0.21,0.21925260299789778
7,weighted_ess,0.262,0.19544410356248143
7,weighted_ess,0.314,0.18913447589831933
7,weighted_ess,0.368,0.16738566312362166
7,weighted_ess,0.42,0.13578178448442618
7,weighted_ess,0.47200000000000003,0.11453196092719549
7,weighted_ess,0.526,0.0923957703167837
7,weighted_ess,0.578,0.08677096701849013
7,weighted_ess,0.63,0.0918754609119173
7,weighted_ess,0.684,0.06856966452169141
7,weighted_ess,0.736,0.0659307557602855
7,weighted_ess,0.788,0.058999437510260676
7,weighted_ess,0.842,0.061823985830578014
7,weighted_ess,0.894,0.053434116722733814
7,weighted_ess,0.9460000000000001,0.05050078059469935
7,weighted_ess,1.0,0.060734092322428934
