method,resolution,seed_group,q,q_set,window_start,window_end,quantity,alpha,beta,T_est,R2_fit,n_points,valid_fit,invalid_reason
LDG,160,-,0.2,0.2,6e-05,0.00011,Rq2,0.00011259977464668272,1.0016999476900355,0.00011240868576098341,0.9229631277695373,101,True,
LDG,160,-,0.2,0.2,7e-05,0.00012,Rq2,7.832440127444227e-05,0.6198791960136891,0.00012635429899588465,0.8369982066120846,101,False,R2<0.9 (curved)
LDG,160,-,0.3,0.3,4e-05,9e-05,Rq2,0.0004525696399922184,5.183219422167701,8.731438959667791e-05,0.8490190101315592,101,False,R2<0.9 (curved)
LDG,160,-,0.3,0.3,5e-05,0.0001,Rq2,0.00027478654449999843,2.711274622381578,0.00010134958009477717,0.8544227838402405,101,False,R2<0.9 (curved)
LDG,160,-,0.3,0.3,6e-05,0.00011,Rq2,0.00017905196128796593,1.5450012220572718,0.0001158911454125236,0.8841753380495767,101,False,R2<0.9 (curved)
LDG,160,-,0.3,0.3,7e-05,0.00012,Rq2,0.00011547073021197382,0.8586826717360567,0.00013447427555341118,0.9197219394836837,101,True,
LDG,160,ens,-1,,4e-05,9e-05,L2,9.996495723930692e-06,0.1155946953868906,8.647884481612967e-05,0.8588584380626147,101,False,R2<0.9 (curved)
LDG,160,ens,-1,,5e-05,0.0001,L2,6.0594100202813686e-06,0.06078921551083738,9.96790297318627e-05,0.8656648342347633,101,False,R2<0.9 (curved)
LDG,160,ens,-1,,6e-05,0.00011,L2,3.7706735684372308e-06,0.032730432596909866,0.00011520390258432534,0.8594241493852828,101,False,R2<0.9 (curved)
LDG,160,ens,-1,,7e-05,0.00012,L2,2.2943616149644333e-06,0.016672384776472017,0.00013761448321431645,0.853871570214636,101,False,R2<0.9 (curved)
LDG,160,ens,-2,,4e-05,9e-05,peak,0.0001069672262835196,1.2257118890670546,8.726946947127783e-05,0.8633201774056227,101,False,R2<0.9 (curved)
LDG,160,ens,-2,,5e-05,0.0001,peak,6.637839666467448e-05,0.6613099187079686,0.00010037411323628863,0.8834042898382132,101,False,R2<0.9 (curved)
LDG,160,ens,-2,,6e-05,0.00011,peak,4.32060174050628e-05,0.37700412396788524,0.00011460356706533871,0.8883974955045453,101,False,R2<0.9 (curved)
LDG,160,ens,-2,,7e-05,0.00012,peak,2.7749030982244217e-05,0.20827345565310698,0.0001332336417774814,0.8796117000246483,101,False,R2<0.9 (curved)
LDG,320,-,0.1,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.00012135479267530157,1.400442672282913,8.665459506277159e-05,0.8623359175435765,101,False,R2<0.9 (curved)
LDG,320,-,0.1,"0.1,0.2,0.3",5e-05,0.0001,Rq2,7.590410465919957e-05,0.7695836745073188,9.863008685545826e-05,0.8899209419252372,101,False,R2<0.9 (curved)
LDG,320,-,0.1,"0.1,0.2,0.3",6e-05,0.00011,Rq2,5.115792461373505e-05,0.4673838592990873,0.00010945590780660265,0.9149716912851937,101,False,T<=window_end
LDG,320,-,0.1,"0.1,0.2,0.3",7e-05,0.00012,Rq2,3.4323650116733034e-05,0.28434598088763846,0.00012071086782934447,0.9252397329367588,101,True,
LDG,320,-,0.2,"0.1,0.2,0.3",4e-05,9e-05,Rq2,0.0002685094852471515,3.1003076054166603,8.660736914557407e-05,0.8613541014916581,101,False,R2<0.9 (curved)
LDG,320,-,0.2,"0.1,0.2,0.3",5e-05,0.0001,Rq2,0.00016690915440659113,1.6913330272267606,9.868497316596968e-05,0.8894803634614348,101,False,R2<0.9 (curved)
LDG,320,-,0.2,"0.1,0.2,0.3",6e-05,0.00011,Rq2,0.00011125293427270762,1.0085542200037563,0.0001103093240463495,0.8957736447584832,101,False,R2<0.9 (curved)
LDG,320,-,0.2,"0.1,0.2,0.3",7e-05,0.00012,Rq2,7.436063993115725e-05,0.6078925155295822,0.0001223253092142053,0.9248405412661564,101,True,
