t,N,M_raw,M_clip,xc_x_raw,xc_y_raw,xc_x_clip,xc_y_clip,R_0.05_raw,R_0.1_raw,R_0.2_raw,R_0.3_raw,R_0.5_raw,R_0.8_raw,R_0.05_clip,R_0.1_clip,R_0.2_clip,R_0.3_clip,R_0.5_clip,R_0.8_clip,S_L2,peak,u_min
5.563909774436091e-05,80,31.415926530162857,31.415926530162857,-3.997867914729394e-06,-3.997867914700917e-06,-3.9978679147293925e-06,-3.997867914700917e-06,0.005040255234438346,0.0064058075677549085,0.00883883657309577,0.012727667738733952,0.01879863861379065,0.03239362260762571,0.005040255234438346,0.0064058075677549085,0.00883883657309577,0.012727667738733952,0.01879863861379065,0.03239362260762571,565.1570554616359,29259.998442151133,-2.2737367544323206e-13
5.614035087719299e-05,80,31.415926530162857,31.415926530162857,-3.2598120677375158e-06,-3.259812067709693e-06,-3.2598120677375132e-06,-3.259812067709693e-06,0.004702193250790384,0.006405262308738562,0.008838835967068793,0.012726540289525723,0.018796857030480386,0.0323849479711355,0.004702193250790384,0.006405262308738562,0.008838835967068793,0.012726540289525723,0.018796857030480386,0.0323849479711355,572.1310696404257,29950.458099729367,-4.547473508864641e-13
5.664160401002507e-05,80,31.415926530162853,31.415926530162853,-1.5454892194950819e-06,-1.5454892194708116e-06,-1.54548921949508e-06,-1.5454892194708116e-06,0.0043731237640263765,0.006405736341173519,0.00883883503506391,0.012728875370434534,0.017791755103672795,0.0318703994460792,0.0043731237640263765,0.006405736341173519,0.00883883503506391,0.012728875370434534,0.017791755103672795,0.0318703994460792,578.9814101252465,30650.084247088358,-4.547473508864641e-13
5.714285714285715e-05,80,31.41592653016285,31.41592653016285,9.034505339436783e-07,9.034505339687154e-07,9.034505339436804e-07,9.034505339687154e-07,0.004120231399084246,0.006406121230961395,0.008838834857176878,0.012358747108513144,0.017789931948942895,0.03186816325277861,0.004120231399084246,0.006406121230961395,0.008838834857176878,0.012358747108513144,0.017789931948942895,0.03186816325277861,585.710507446466,31360.94996588615,-9.094947017729282e-13
5.7644110275689234e-05,80,31.415926530162846,31.415926530162846,2.45800807191941e-06,2.4580080719439934e-06,2.458008071919412e-06,2.4580080719439934e-06,0.0038006023019792425,0.006404947130015802,0.008838798406681572,0.011483312344852758,0.017789624107458372,0.031865979688034264,0.0038006023019792425,0.006404947130015802,0.008838798406681572,0.011483312344852758,0.017789624107458372,0.031865979688034264,592.2728702496576,32090.17656658866,-9.094947017729282e-13
5.814536340852131e-05,80,31.415926530162846,31.415926530162846,4.082146776031662e-06,4.082146776055152e-06,4.0821467760316635e-06,4.082146776055152e-06,0.0034902811570947574,0.006403721053196529,0.008837691884315949,0.011184904425038472,0.01778893758834023,0.03128582886995462,0.0034902811570947574,0.006403721053196529,0.008837691884315949,0.011184904425038472,0.01778893758834023,0.03128582886995462,598.6842306742881,32834.17855087914,-9.094947017729282e-13
5.864661654135339e-05,80,31.415926530162842,31.415926530162842,6.018762899146749e-06,6.0187628991691144e-06,6.018762899146751e-06,6.0187628991691144e-06,0.0031899829349078916,0.0064022598545622495,0.008835603659956707,0.01118697481047494,0.017781124957017617,0.0312759970760387,0.0031899829349078916,0.0064022598545622495,0.008835603659956707,0.01118697481047494,0.017781124957017617,0.0312759970760387,605.0024770054276,33586.88517401334,-9.094947017729282e-13
5.914786967418547e-05,80,31.415926530162842,31.415926530162842,8.116916195100969e-06,8.116916195121902e-06,8.116916195100972e-06,8.116916195121902e-06,0.0029001157813025344,0.006400677720448844,0.008832457981355872,0.011188038653797945,0.01579440854818614,0.030559808720031334,0.0029001157813025344,0.006400677720448844,0.008832457981355872,0.011188038653797945,0.01579440854818614,0.030559808720031334,611.2369318978515,34344.27163736604,-9.094947017729282e-13
5.964912280701755e-05,80,31.415926530162842,31.415926530162842,9.910974811093679e-06,9.910974811113286e-06,9.91097481109368e-06,9.910974811113286e-06,0.0026203786944242846,0.006399325673020707,0.008828660638539878,0.0111889285303278,0.015685372996005687,0.030135315921722226,0.0026203786944242846,0.006399325673020707,0.008828660638539878,0.0111889285303278,0.015685372996005687,0.030135315921722226,617.3850631897004,35103.55470992623,-9.094947017729282e-13
6e-05,80,31.41592653016284,31.41592653016284,1.1052503260071017e-05,1.105250326008946e-05,1.105250326007102e-05,1.105250326008946e-05,0.002430554146564018,0.0063984657636432535,0.008825675036194653,0.011189918459084364,0.015681611673552184,0.030119820347008917,0.002430554146564018,0.0063984657636432535,0.008825675036194653,0.011189918459084364,0.015681611673552184,0.030119820347008917,621.6359319004334,35635.10668331339,-9.094947017729282e-13
6.015037593984963e-05,80,31.41592653016284,31.41592653016284,1.1528328243198988e-05,1.152832824321652e-05,1.1528328243198991e-05,1.152832824321652e-05,0.002350705374239353,0.0063981074125067615,0.008824310661635783,0.011190331135457131,0.015674922096103258,0.030106087146157146,0.002350705374239353,0.0063981074125067615,0.008824310661635783,0.011190331135457131,0.015674922096103258,0.030106087146157146,623.4450852652615,35862.76167715912,-9.094947017729282e-13
6.0651629072681715e-05,80,31.41592653016284,31.41592653016284,1.3070220755934952e-05,1.3070220755954178e-05,1.3070220755934959e-05,1.3070220755954178e-05,0.002090984475822474,0.006396946537884486,0.008697115015933093,0.011182248704613233,0.015279010899493652,0.029839063015997563,0.002090984475822474,0.006396946537884486,0.008697115015933093,0.011182248704613233,0.015279010899493652,0.029839063015997563,629.4238309243542,36620.34187720258,-9.094947017729282e-13
6.115288220551379e-05,80,31.415926530162835,31.415926530162835,1.4552021012805517e-05,1.4552021012823962e-05,1.4552021012805522e-05,1.4552021012823962e-05,0.0020118737305643624,0.006395831408077374,0.008318741645073216,0.011168780765246522,0.015267728412642392,0.02864848986159587,0.0020118737305643624,0.006395831408077374,0.008318741645073216,0.011168780765246522,0.015267728412642392,0.02864848986159587,635.324859580208,37375.13665274098,-9.094947017729282e-13
6.165413533834588e-05,80,31.41592653016283,31.41592653016283,1.598080672064132e-05,1.598080672065916e-05,1.5980806720641324e-05,1.598080672065916e-05,0.0020122416263315596,0.006394101972327404,0.007952935148932246,0.011166514397112743,0.0152647723314203,0.027408011078449583,0.0020122416263315596,0.006394101972327404,0.007952935148932246,0.011166514397112743,0.0152647723314203,0.027408011078449583,641.1510170259783,38126.27031867657,-2.2737367544323206e-13
