N,t,S_L2,peak,umin,mass_u,mass_v
160,3.759398496240602e-05,341.52375050801226,10844.466773954062,1.4833991536966789e-15,31.415926530162917,31.415637971155817
160,3.80952380952381e-05,346.87869657315946,11192.991888846567,1.4964490849414163e-15,31.41592653016292,31.415637971300455
160,3.859649122807018e-05,352.30931769620173,11551.395277074265,1.5090788661393316e-15,31.41592653016292,31.41563797144509
160,3.9097744360902264e-05,357.81594815386046,11919.880643732246,1.521277749359699e-15,31.415926530162913,31.41563797158974
160,3.959899749373434e-05,363.3988976878318,12298.65195939058,1.5330376504973748e-15,31.415926530162913,31.41563797173438
160,4.010025062656642e-05,369.05845056043336,12687.913270709721,1.544352518844906e-15,31.415926530162906,31.41563797187901
160,4.06015037593985e-05,374.7948646252419,13087.86850816538,1.5552174547592853e-15,31.415926530162906,31.41563797202365
160,4.110275689223058e-05,380.60837041599876,13498.72129149493,1.5656306198259846e-15,31.415926530162913,31.415637972168284
160,4.1604010025062666e-05,386.49917025714194,13920.674733514916,1.5755909391146956e-15,31.415926530162903,31.415637972312933
160,4.2105263157894745e-05,392.46743739939234,14353.931242992954,1.5851012006385064e-15,31.415926530162903,31.415637972457567
160,4.2606516290726824e-05,398.51331518387354,14798.692327253979,1.5941666358223954e-15,31.415926530162892,31.415637972602205
160,4.31077694235589e-05,404.63691623828254,15255.158395256074,1.6027944150988811e-15,31.4159265301629,31.415637972746843
160,4.360902255639098e-05,410.83832170864906,15723.52856184752,1.610993049456267e-15,31.415926530162892,31.415637972891478
160,4.411027568922306e-05,417.11758053022305,16204.000453954435,1.6187720072972678e-15,31.415926530162892,31.41563797303612
160,4.4611528822055146e-05,423.4747087410135,16696.770019440453,1.6261416143997967e-15,31.415926530162892,31.41563797318076
160,4.5112781954887225e-05,429.9096888414646,17202.031339382433,1.6331130244455999e-15,31.41592653016289,31.415637973325396
160,4.5614035087719304e-05,436.4224692036996,17719.976444512606,1.6396981773540806e-15,31.41592653016289,31.415637973470037
160,4.611528822055138e-05,443.0129635336837,18250.79513654798,1.6459099550421587e-15,31.415926530162885,31.415637973614672
160,4.661654135338346e-05,449.6810503895605,18794.67481513919,1.6517620978254614e-15,31.415926530162885,31.41563797375931
160,4.711779448621555e-05,456.4265727592943,19351.80031113733,1.6572692172769726e-15,31.415926530162885,31.415637973903948
160,4.761904761904763e-05,463.24933770061267,19922.353726862115,1.6624467182837799e-15,31.415926530162885,31.41563797404859
160,4.8120300751879706e-05,470.1491160460798,20506.514284015997,1.6673107238359229e-15,31.415926530162874,31.415637974193224
160,4.8621553884711785e-05,477.1256421759474,21104.45817988555,1.6718755574251886e-15,31.41592653016288,31.415637974337866
160,4.9122807017543864e-05,484.17861386123235,21716.358452397064,1.6761797196344576e-15,31.415926530162874,31.4156379744825
160,4.962406015037595e-05,491.30769217924467,22342.384854592143,1.6801449796249085e-15,31.415926530162874,31.415637974627135
160,5.012531328320803e-05,498.5125015035528,22982.703739015706,1.683978611457462e-15,31.415926530162874,31.415637974771773
160,5.062656641604011e-05,505.79262957011684,23637.47795248819,1.6874939101148734e-15,31.41592653016287,31.415637974916415
160,5.112781954887219e-05,513.1476276210487,24306.866741661812,1.6908330794973326e-15,31.41592653016287,31.415637975061053
160,5.1629072681704266e-05,520.5770106271747,24991.02566972947,1.6939713335782324e-15,31.415926530162867,31.415637975205687
160,5.213032581453635e-05,528.0802575902774,25690.106544589165,1.6968835849769696e-15,31.415926530162867,31.415637975350325
160,5.263157894736843e-05,535.6568119249773,26404.25735907388,1.6998027482283429e-15,31.415926530162867,31.415637975494963
160,5.313283208020051e-05,543.3060819010789,27133.622208025037,1.702263599903387e-15,31.415926530162857,31.415637975639598
160,5.363408521303259e-05,551.0274412116545,27878.341311631437,1.7048475789484797e-15,31.415926530162857,31.415637975784236
160,5.413533834586467e-05,558.8202296075424,28638.550994021138,1.707113995462832e-15,31.415926530162857,31.415637975928874
160,5.463659147869675e-05,566.6837535851805,29414.383624190472,1.7092768377744664e-15,31.415926530162857,31.41563797607351
160,5.513784461152883e-05,574.6172871679762,30205.96763358137,1.711304631290955e-15,31.41592653016285,31.415637976218147
160,5.563909774436091e-05,582.6200727643303,31013.427529729794,1.7132355990543978e-15,31.415926530162853,31.415637976362785
160,5.614035087719299e-05,590.6913221008615,31836.883920413784,1.7151037999061688e-15,31.415926530162853,31.41563797650742
160,5.664160401002507e-05,598.830217228846,32676.45354930247,1.7169575312004276e-15,31.41592653016285,31.415637976652054
160,5.714285714285715e-05,607.0359116015709,33532.2493429777,1.7188545756413085e-15,31.415926530162842,31.415637976796695
160,5.7644110275689234e-05,615.3075312200067,34404.38046902483,1.7208619665634572e-15,31.415926530162842,31.415637976941323
160,5.814536340852131e-05,623.6441758439225,35292.95240485822,1.7230529530782332e-15,31.41592653016284,31.415637977085968
160,5.864661654135339e-05,632.0449202653089,36198.067016860055,1.7255033631946608e-15,31.41592653016284,31.415637977230595
160,5.914786967418547e-05,640.5088156407221,37119.82264941421,1.7282874496844107e-15,31.415926530162842,31.415637977375237
160,5.964912280701755e-05,649.0348908789416,38058.31422333804,1.7314739320900625e-15,31.41592653016284,31.41563797751988
160,6e-05,655.0396112423415,38725.266544207465,1.7339761668603353e-15,31.41592653016284,31.41563797762112
160,6.015037593984963e-05,657.6221558119395,39013.635030832476,1.7351222843130977e-15,31.41592653016283,31.415637977664506
160,6.0651629072681715e-05,666.2695957206108,39985.86873147262,1.7392816486875445e-15,31.41592653016283,31.415637977809144
160,6.115288220551379e-05,674.9761833955516,40975.1050639729,1.7439872945520937e-15,31.415926530162835,31.415637977953782
160,6.165413533834588e-05,683.7408735714357,41981.42503999021,1.7492612003052195e-15,31.415926530162825,31.415637978098417
160,6.215538847117796e-05,692.5626063854447,43004.9082348177,1.7551119033832912e-15,31.41592653016283,31.415637978243055
160,6.265664160401004e-05,701.440308992757,44045.63155822021,1.761535264676473e-15,31.41592653016283,31.415637978387682
160,6.315789473684212e-05,710.3728972228955,45103.6694058855,1.7685156476961274e-15,31.41592653016282,31.41563797853232
160,6.36591478696742e-05,719.3592772586657,46179.093804030534,1.7760274668987271e-15,31.41592653016281,31.415637978676955
160,6.416040100250627e-05,728.3983473318078,47271.97457012,1.784036843214857e-15,31.41592653016282,31.415637978821593
160,6.466165413533835e-05,737.488999430291,48382.37947438844,1.7925033551676756e-15,31.41592653016282,31.415637978966227
160,6.516290726817043e-05,746.630121012487,49510.37440385067,1.801381747973775e-15,31.41592653016282,31.415637979110866
160,6.566416040100251e-05,755.8205967235859,50656.02352804948,1.810623555928738e-15,31.41592653016281,31.4156379792555
160,6.616541353383459e-05,765.0593101097012,51819.38946618755,1.8201785906549145e-15,31.41592653016281,31.41563797940013
160,6.666666666666667e-05,774.3451453252156,53000.533455118144,1.8299962699129165e-15,31.415926530162807,31.41563797954477
160,6.716791979949876e-05,783.6769888290191,54199.51551761184,1.8400267730275135e-15,31.415926530162807,31.415637979689407
160,6.766917293233084e-05,793.053731065421,55416.394630399824,1.850222029350461e-15,31.415926530162803,31.415637979834038
160,6.817042606516292e-05,802.4742681256579,56651.228891413964,1.8605364935712426e-15,31.415926530162803,31.41563797997867
160,6.8671679197995e-05,811.9375033860741,57904.075685720374,1.870927853595705e-15,31.415926530162803,31.41563798012331
160,6.917293233082708e-05,821.4423491192154,59174.99184968954,1.88135744856902e-15,31.415926530162803,31.415637980267945
160,6.967418546365916e-05,830.9877280742678,60464.0338328847,1.8917906753148e-15,31.4159265301628,31.41563798041258
160,7.017543859649124e-05,840.5725750234557,61771.25785728526,1.9021972455321337e-15,31.415926530162793,31.41563798055721
160,7.067669172932332e-05,850.1958382712193,63096.72007342896,1.9125512546824114e-15,31.415926530162793,31.415637980701845
160,7.11779448621554e-05,859.8564811231968,64440.47671309565,1.92283130105905e-15,31.415926530162793,31.415637980846483
160,7.167919799498747e-05,869.5534833122537,65802.58423821157,1.9330204233081035e-15,31.415926530162793,31.415637980991114
160,7.218045112781957e-05,879.2858423790193,67183.09948566325,1.9431060301158427e-15,31.41592653016279,31.41563798113575
160,7.268170426065164e-05,889.0525750046116,68582.07980777165,1.9530797644535184e-15,31.415926530162793,31.415637981280383
160,7.318295739348372e-05,898.8527182934607,69999.58320814672,1.962933985874867e-15,31.41592653016279,31.41563798142502
160,7.36842105263158e-05,908.6853310043583,71435.6684727949,1.9726687421941227e-15,31.415926530162785,31.415637981569656
160,7.418546365914788e-05,918.5463545956026,72890.39529622863,-4.547473508864641e-13,31.415926530162785,31.415637981714287
160,7.468671679197996e-05,928.425580473983,74363.82161151656,-4.547473508864641e-13,31.41592653016278,31.415637981858914
160,7.518796992481204e-05,938.3168105213811,75856.01691892673,-4.547473508864641e-13,31.41592653016278,31.415637982003553
160,7.568922305764412e-05,948.2254101479116,77366.99605747579,-4.547473508864641e-13,31.415926530162775,31.415637982148187
160,7.61904761904762e-05,958.1425413051142,78896.78035156467,-4.547473508864641e-13,31.415926530162775,31.415637982292825
160,7.669172932330828e-05,968.0553519306096,80445.74487431446,-9.094947017729282e-13,31.415926530162775,31.415637982437456
160,7.719298245614036e-05,977.9272338643675,82014.07521602296,-9.094947017729282e-13,31.415926530162775,31.415637982582087
160,7.769423558897245e-05,987.7296101620366,83602.79845897733,-9.094947017729282e-13,31.41592653016277,31.41563798272672
160,7.819548872180453e-05,997.448651292323,85215.18341925499,-9.094947017729282e-13,31.415926530162768,31.41563798287136
