t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.4,2,20000,6445,10.0,3.2225,3.2967995396436067,0.0,0.10550836770096785,6445,0.9747376808980551,1.5062574550530747,2.1210221021291735,0.9863999221858932,0.9648511313759259,0.9620539891737733,0.0003059142694743439
0.44,2,20000,6987,10.0,3.4935,3.559635789168587,0.0,0.09455681209773328,6987,1.0156038054439687,1.55664926398705,2.1958922699327883,1.0626239263986634,1.0376174860455876,1.0307062378639271,0.0002754620265253935
0.48,2,20000,7538,10.0,3.769,3.8121660819385914,0.0,0.09216786260883775,7539,1.0486993247878111,1.6127128193252018,2.279682913001659,1.1332659947449835,1.1108690928837457,1.1074718224999776,0.0002743508226572947
0.52,2,20000,8035,10.0,4.0175,4.054794520298057,0.0,0.08191245423156657,8035,1.082529660637459,1.6672714910072712,2.3715396028861684,1.2147956539059492,1.1906006694812656,1.1846832265399878,0.00024212764277591886
0.56,2,20000,8504,10.0,4.252,4.2879093615118515,0.0,0.08295174932703743,8504,1.1077408518632479,1.7179670780028933,2.4446327918949002,1.2913488188057607,1.2749420183364804,1.2536802690093343,0.0002618415578768656
0.6,2,20000,9006,10.0,4.503,4.511883639059736,0.0,0.07911714767060779,9006,1.140906172056232,1.7714176359347102,2.511700911660575,1.3719011484843517,1.3521775844294956,1.3214441301219322,0.000243842049920305
0.64,2,20000,9434,10.0,4.7170000000000005,4.727075759569514,0.0,0.07328579975627524,9434,1.172747185871598,1.82051465099021,2.579586985548103,1.448429124524664,1.4322460724050532,1.3988238371348305,0.0002126085118462368
0.68,2,20000,9848,10.0,4.924,4.933830076344105,0.0,0.07237308601244585,9848,1.1991875239852163,1.8686921375305756,2.637529364175668,1.5238222112876842,1.5002417195061561,1.4681852076354043,0.00024083940307675176
0.72,2,20000,10206,10.0,5.103,5.132477440400283,0.0,0.0674573588586937,10206,1.2414209335220627,1.907025233728319,2.700823719903638,1.6026560920360777,1.5808219659520124,1.5394040935807372,0.0002069353581911869
0.76,2,20000,10536,10.0,5.268,5.323335729900908,0.0,0.06604164370864822,10536,1.2720178540130522,1.95628891242534,2.7689352143059325,1.685954992434989,1.65334653066639,1.6178575711593572,0.00021843313747840906
0.8,2,20000,10845,10.0,5.4225,5.506710358827784,0.0,0.06323130687735946,10845,1.2995038044904175,2.0148052453064746,2.839374797903845,1.767675711292869,1.7359523089087303,1.6971318007947087,0.0002413535571701098
0.84,2,20000,11188,10.0,5.594,5.682894765709204,0.0,0.057251913696714396,11188,1.3254829174398237,2.053584659192347,2.9011808904024843,1.8440998694843258,1.814382933655997,1.772338669433281,0.00018659936694751235
0.88,2,20000,11552,10.0,5.776,5.852170883184186,0.0,0.05411840752199956,11552,1.3494205163484774,2.1068524705551575,2.9643702351001164,1.929488574445727,1.8886223228979648,1.8509826419278925,0.00020404100671267913
0.92,2,20000,11901,10.0,5.9505,6.01480958915486,0.0,0.054235407251094755,11901,1.381697780986836,2.1472563385712338,3.0197788701088406,2.0014247308331328,1.9663876848347646,1.9279463208578356,0.00018873707886414166
0.96,2,20000,12228,10.0,6.114,6.1710711402488805,0.0,0.0521823942977694,12228,1.3999354881259314,2.1951320798562475,3.076424024311053,2.0763948008890822,2.04567848651086,2.001389267691708,0.00018533226336527414
1.0,2,20000,12554,10.0,6.277,6.321205588285577,0.0,0.04828558842313481,12554,1.4308807690824035,2.2325700744558503,3.1375149004697978,2.1503807904664782,2.1225777722013413,2.0844962264591893,0.00017143125009955453
1.04,2,20000,12829,10.0,6.4145,6.465453180412198,0.0,0.049005887155280495,12829,1.4594585981909105,2.268015699895303,3.1890463857090774,2.219269329761149,2.198716808952593,2.166175863102599,0.00019850593635001098
1.08,2,20000,13169,10.0,6.5845,6.604044743550609,0.0,0.048878426793516096,13169,1.4802893504798995,2.3102228983526603,3.243747308900821,2.298908871803625,2.276097801421317,2.2440004307721924,0.00018943960563570902
1.12,2,20000,13482,10.0,6.7410000000000005,6.737202053769606,0.0,0.043398977823478936,13482,1.5166982172556456,2.352162344615978,3.3039433435236685,2.385667589483605,2.3622533086721837,2.3263727405511356,0.00015656058318385893
1.16,2,20000,13798,10.0,6.899,6.865138191173948,0.0,0.0453849891845129,13798,1.5425342043425445,2.396392035816797,3.361074593036313,2.4660411477360125,2.435910306341371,2.397374993416431,0.00018698593251091376
1.2,2,20000,14049,10.0,7.0245,6.988057880877979,0.0,0.04382585904266633,14049,1.569994456087281,2.435723463080138,3.421694166733932,2.5436654612167278,2.534971379441741,2.473025790384318,0.00016603336880413578
1.24,2,20000,14260,10.0,7.13,7.106157820609493,0.0,0.04182194726300895,14260,1.5958220053249306,2.4618446157980127,3.45251963244312,2.6272046946022787,2.6012214511396694,2.5405890551368375,0.0001748766894647588
1.28,2,20000,14464,10.0,7.232,7.219626995468058,0.0,0.04067511408063282,14464,1.6223627493898463,2.502857315488542,3.5163610570223787,2.716745657328938,2.6756336302675394,2.6210021054984565,0.00017405449790374456
1.32,2,20000,14636,10.0,7.3180000000000005,7.328646980341497,0.0,0.03851157957895482,14641,1.6452449117655452,2.536019700147331,3.570923093441617,2.7870471125799487,2.7505537948020042,2.7057355292607834,0.00013945157815727855
1.36,2,20000,14894,10.0,7.447,7.433392230464442,0.0,0.03832575810056426,14894,1.646145016321602,2.5671083348571027,3.628952877246173,2.8693677467225833,2.8173015977690428,2.7856941519915486,0.00016233771371068262
1.4000000000000001,2,20000,15104,10.0,7.5520000000000005,7.534030360583936,0.0,0.03723762544435184,15104,1.6857502092859784,2.6083927849173234,3.683623497989096,2.946789569692223,2.907354577287854,2.8703182193203074,0.0001499877823337377
1.44,2,20000,15268,10.0,7.634,7.630722413178782,0.0,0.0375745788264368,15271,1.7145124177596776,2.6400257223915173,3.7316576048935253,3.043280540763508,2.986621264920676,2.9457530938596204,0.00016541589586798844
1.48,2,20000,15452,10.0,7.726,7.723623116161873,0.0,0.03601546112027135,15452,1.74026447530903,2.684621561715777,3.782499680804398,3.1307042760757504,3.0692834286777777,3.015296909149306,0.00013997982336377498
1.52,2,20000,15689,10.0,7.8445,7.8128811304778525,0.0,0.03454231548258254,15689,1.7651290387695382,2.7189676169844894,3.825963360829859,3.2108728636926682,3.1530744997954465,3.094165231250106,0.00015555625184637085
1.56,2,20000,15857,10.0,7.9285000000000005,7.898639287992353,0.0,0.034164871570274556,15857,1.7801557012807647,2.7445906167292557,3.8747096929122993,3.28053707559466,3.224734923259283,3.180515381241779,0.0001408186591037169
1.6,2,20000,15989,10.0,7.9945,7.981034820053447,0.0,0.03269729422653611,15989,1.8010766001417808,2.7905400762063475,3.92691555660107,3.358175240895203,3.304565391603711,3.2454258891221075,0.00013021885519466184
1.6400000000000001,2,20000,16177,10.0,8.0885,8.06019957709108,0.0,0.03324895278405302,16178,1.831016381385309,2.8122460570024868,3.9628091483190175,3.4295332880079816,3.374057616951993,3.3182806487528795,0.00015817309076383309
1.68,2,20000,16374,10.0,8.187,8.1362602396059,0.0,0.03237779852242653,16379,1.849517482446317,2.851767052290961,4.007627602851,3.5119256726672314,3.4339715022596944,3.3990171080342266,0.00014625458182736294
1.72,2,20000,16544,10.0,8.272,8.209338520885067,0.0,0.03354046600977277,16544,1.877775892005745,2.887137387959575,4.053156711475269,3.580979953520249,3.516151737896157,3.472330328662073,0.0001790715650606587
1.76,2,20000,16756,10.0,8.378,8.279551361769496,0.0,0.03070848965758479,16756,1.8911322628441367,2.926138776043429,4.097121537102891,3.6506874308123294,3.5951157363170396,3.5381926222775393,0.00015194506154322476
1.8,2,20000,16820,10.0,8.41,8.347011117784135,0.0,0.031184732392447127,16826,1.9042085534242872,2.9594917774412273,4.134747390789213,3.731042098807677,3.6763986026052304,3.5998653716657074,0.0001299363173193232
1.84,2,20000,16930,10.0,8.465,8.411825738930794,0.0,0.03143565677481927,16933,1.9369068730126202,2.9817507573425215,4.174335682584385,3.816378192351851,3.725589504091375,3.667207263063208,0.00014531029107529516
1.8800000000000001,2,20000,17077,10.0,8.5385,8.474098942431162,0.0,0.029096679587153586,17077,1.9494785930180623,3.016992819586743,4.206875154822255,3.89154304678795,3.79332681119148,3.7369444679650012,0.0001161501995403823
1.92,2,20000,17168,10.0,8.584,8.533930378696498,0.0,0.029680242507225413,17168,1.9750685043012175,3.0530615088498183,4.2627770046641205,3.963252732362882,3.8924778957075605,3.8155508228773107,0.00012246633723484197
1.96,2,20000,17255,10.0,8.6275,8.591415790789549,0.0,0.03026328630580079,17255,1.999287682536914,3.075990626486964,4.32190844163531,4.030066621321,3.958728591806909,3.909160397739165,0.00013392864971578896
2.0,2,20000,17378,10.0,8.689,8.646647167633873,0.0,0.027920738117229178,17384,2.0273709415892363,3.11514844213521,4.351079200749061,4.091755144668237,4.041463009842024,3.985308505960836,0.00012487329531661034
2.04,2,20000,17500,10.0,8.75,8.699712891215741,0.0,0.027219961314926235,17500,2.046195812349788,3.1360969173324107,4.393779558281888,4.199651900938323,4.099994176345437,4.0522539335452095,0.0001163203270222622
2.08,2,20000,17622,10.0,8.811,8.750697878014176,0.0,0.02751530150941232,17622,2.0577127165488447,3.165651256496097,4.436612788700695,4.277403348539749,4.149638364525201,4.125426398230049,0.00011674476796826768
2.12,2,20000,17693,10.0,8.8465,8.799683714885433,0.0,0.02669846885079751,17697,2.0835982644318927,3.206579770874851,4.476586602378352,4.329946650966377,4.2350012892609215,4.2028525195370765,0.0001067115166556995
2.16,2,20000,17778,10.0,8.889,8.846748789619376,0.0,0.026370750242511617,17792,2.109868669883707,3.2288630205873865,4.514386446586667,4.39851512332357,4.3196991447842334,4.258841370940672,0.00011631115821659833
2.2,2,20000,17882,10.0,8.941,8.891968416376661,0.0,0.026484372168501878,17889,2.1251805775804113,3.2582347040066204,4.55699480271051,4.460059561073513,4.405272572228081,4.320069366953349,0.0001239541060059326
2.24,2,20000,17966,10.0,8.983,8.935414956207472,0.0,0.02776830259368334,17966,2.121211745450228,3.269406029813952,4.594675693051683,4.531141004676933,4.466060315069473,4.402263736888052,0.00012538676456695893
2.2800000000000002,2,20000,18065,10.0,9.0325,8.977157932844626,0.0,0.025943742096796854,18065,2.1548633389467513,3.300468984767276,4.634385307949047,4.619481101458453,4.55734159394593,4.471220659388663,0.00011489820594811233
2.32,2,20000,18207,10.0,9.1035,9.017264143956385,0.0,0.025299904640263764,18210,2.1648066198146294,3.3239434624110133,4.6863428991393725,4.680227847735021,4.607513670174133,4.566690429820838,0.00011817150443377794
2.36,2,20000,18254,10.0,9.127,9.055797768036976,0.0,0.025260618592444554,18265,2.194220859376063,3.359631767485151,4.734655967215384,4.776484399806725,4.699520520361585,4.640686067075367,0.00011872453136015279
2.4,2,20000,18311,10.0,9.1555,9.092820467105875,0.0,0.02393394984099039,18311,2.198042540802323,3.3816408494569234,4.772570737290353,4.853649370352592,4.765074714622066,4.704231395019315,0.00011081124743537107
2.44,2,20000,18381,10.0,9.1905,9.128391485380188,0.0,0.023844633696281512,18387,2.223388345896265,3.4073128670078883,4.810656190091066,4.9437649338497005,4.842042571417649,4.7703681114719165,0.00010823870917918859
2.48,2,20000,18472,10.0,9.236,9.162567744078041,0.0,0.023164233183117926,18472,2.239006209500339,3.436141689808635,4.846028420574803,5.006168093394538,4.917065744087738,4.828945406016238,0.00010405636246409042
2.52,2,20000,18531,10.0,9.2655,9.195403932504675,0.0,0.02396692090475772,18531,2.262057071361302,3.474749057219773,4.860377933587431,5.079119697910987,4.990920558579999,4.880273350676704,0.00012179553262902665
2.56,2,20000,18622,10.0,9.311,9.226952595567003,0.0,0.022092993950207564,18622,2.2784682845508724,3.5016509855093005,4.898368221061821,5.146581087907548,5.06472197665555,4.973926774186832,9.940950989272094e-05
2.6,2,20000,18644,10.0,9.322000000000001,9.257264217856662,0.0,0.022955834287733668,18661,2.2911261579329594,3.5389464507601893,4.940163500347137,5.190338624085355,5.1594039755615375,5.040191355386899,0.00011101490073395418
2.64,2,20000,18689,10.0,9.3445,9.28638730443614,0.0,0.02307769532038307,18703,2.299224813995235,3.579191316224721,4.974314477566922,5.280193054955169,5.218797960539321,5.100299121258444,0.0001049373743394139
2.68,2,20000,18720,10.0,9.36,9.31436845845722,0.0,0.02282427765193056,18739,2.30851115145549,3.5974667903369215,5.015438358998805,5.309201844708786,5.29927825279042,5.1862206130660145,0.00011843735017580841
2.72,2,20000,18745,10.0,9.3725,9.34125245573597,0.0,0.022897737066846596,18745,2.320363686974171,3.613223023757588,5.038222526700285,5.387658545258318,5.341685198640071,5.231035235296859,0.00011415525535894358
2.7600000000000002,2,20000,18792,10.0,9.396,9.367082316403593,0.0,0.021589935090338682,18798,2.3546369750681935,3.6343128560215456,5.0707450800015845,5.45570734362826,5.4168990620561,5.283060831228023,9.301360212639094e-05
2.8000000000000003,2,20000,18801,10.0,9.400500000000001,9.39189937374782,0.0,0.021869868298009083,18811,2.3815543940912156,3.647380692878098,5.1081200090282834,5.52303471273528,5.47607316737419,5.338582863782557,0.00010432468993782586
2.84,2,20000,18868,10.0,9.434000000000001,9.415743340354991,0.0,0.02173874635240502,18869,2.388740465457124,3.6675903127786986,5.148005391991044,5.59490988297733,5.534488307687572,5.397046731319277,9.424455530906573e-05
2.88,2,20000,18940,10.0,9.47,9.438652371658662,0.0,0.021592628572523975,18957,2.4062083946929866,3.687611837466508,5.183238379217035,5.624381248671478,5.604396934285115,5.473920443553383,9.435726733318444e-05
2.92,2,20000,19026,10.0,9.513,9.46066312699644,0.0,0.021582897020231005,19026,2.4280444083624158,3.709433709181912,5.218720450130028,5.68730347136008,5.677494220815007,5.5450780573476015,0.00010746832233426241
2.96,2,20000,19083,10.0,9.541500000000001,9.481810828272742,0.0,0.021215383518574903,19085,2.4347304695703302,3.7362574610679644,5.231258945373703,5.7907774169846435,5.691284032550824,5.614440745421128,0.00010408074216877462
3.0,2,20000,19089,10.0,9.5445,9.50212931632136,0.0,0.021693125809580324,19090,2.4528852464544615,3.7640763580494103,5.269705419126709,5.816883446804113,5.783288113083828,5.677248382302446,0.00011777241136072361
