t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.32,4,80000,21953,10.0,2.744125,2.7385096292630906,0.0,0.00561537073690932,0.0020505207200678596,0.00027682074867238716,9.230707642049398e-05,0.016402916653751647,0.11051028595816641,21953
0.34,4,80000,23119,10.0,2.889875,2.8822967723739037,0.0,0.007578227626096279,0.0026292322493407694,0.0003075019557077536,9.066782533142536e-05,0.01747001384024465,0.105946399143362,23119
0.36,4,80000,24234,10.0,3.02925,3.0232367392896897,0.0,0.006013260710310497,0.0019890141688749504,0.00027056455494813014,9.286229889782975e-05,0.01633684545122587,0.10263198129825665,24234
0.38,4,80000,25324,10.0,3.1655,3.1613859078764417,0.0,0.00411409212355851,0.0013013571400152214,0.00024567446500292075,0.00010045290632971025,0.018688277577047423,0.09895128817034257,25324
0.4,4,80000,26419,10.0,3.302375,3.2967995396436067,0.0,0.005575460356393336,0.0016911736031715349,0.00031939171767206574,0.00011110698656511221,0.01810392046688292,0.09405931988116452,26419
0.42,4,80000,27475,10.0,3.434375,3.4295318018494325,0.0,0.0048431981505676625,0.0014122038897425842,0.00032360901332680443,0.00012077052241813322,0.01777166933532351,0.09001280351662005,27475
0.44,4,80000,28466,10.0,3.55825,3.559635789168587,0.0,0.0013857891685868928,0.00038930644893604894,0.0003351259800514296,0.00010971869764635885,0.018307121036731707,0.0870715061922381,28466
0.46,4,80000,29560,10.0,3.6950000000000003,3.6871635449307405,0.0,0.007836455069259785,0.0021253342776274883,0.0003373371992718526,0.00012208419780426034,0.01877594954106136,0.08333615174563173,29560
0.48,4,80000,30489,10.0,3.811125,3.8121660819385914,0.0,0.001041081938591315,0.0002730945914250137,0.00027458046176253475,0.00013541404385847543,0.02227898110449338,0.08153259282269848,30489
0.5,4,80000,31480,10.0,3.935,3.9346934028736658,0.0,0.0003065971263342959,7.792147823014002e-05,0.0003053479977240391,0.0001512370480748254,0.021437398905793444,0.07896471346072684,31480
0.52,4,80000,32522,10.0,4.06525,4.054794520298057,0.0,0.010455479701942494,0.002578547359083917,0.0003118266308892305,0.0001414516643539906,0.018068212112474325,0.07626241797815335,32522
0.54,4,80000,33598,10.0,4.19975,4.172517476260103,0.0,0.027232523739896486,0.0065266410254332715,0.0002909991062143664,0.000142847682228639,0.017886486208301796,0.07358520284322682,33598
0.56,4,80000,34551,10.0,4.318875,4.2879093615118515,0.0,0.030965638488148706,0.007221616848083443,0.0002823339788485426,0.000159672388953129,0.01744058737607607,0.07083873588628137,34551
0.58,4,80000,35485,10.0,4.435625,4.40101633434598,0.0,0.03460866565402032,0.007863789412443388,0.00026818251715944385,0.00015932623043099977,0.015297071777712735,0.06833266536873511,35485
0.6,4,80000,36354,10.0,4.54425,4.511883639059736,0.0,0.032366360940264016,0.007173580599478642,0.00031109605602732874,0.00014079100084743055,0.017724218772157404,0.06694074932306468,36354
0.62,4,80000,37181,10.0,4.647625,4.620555624053255,0.0,0.027069375946744856,0.005858467714538408,0.00029254219158557983,0.00014375685398593317,0.020233285191003914,0.06635240036331039,37181
0.64,4,80000,37946,10.0,4.74325,4.727075759569514,0.0,0.016174240430485654,0.0034216165031293283,0.00027132949433023446,0.00011954797776208714,0.017947734180278244,0.062971362507545,37946
0.66,4,80000,38808,10.0,4.851,4.831486655083008,0.0,0.01951334491699175,0.004038786880734228,0.0002687124736972939,0.00013590069912641664,0.016551986878908787,0.060435511891266426,38808
0.68,4,80000,39640,10.0,4.955,4.933830076344105,0.0,0.021169923655895317,0.0042907686986216435,0.0002194643681435497,0.00012329962533292447,0.017600891121818216,0.0590712586235838,39640
