seed,method,m,amplitude,local_eff,E_m
0,poisson_branch,0,1.0956708580912724,87827.0,0.1691432263869775
0,poisson_branch,1,1.176776695296637,231873.0,0.6077942480404879
0,poisson_branch,2,1.2309698831278217,125451.0,0.4390017293557615
0,poisson_branch,3,1.25,273603.0,0.04832985316179822
0,poisson_branch,4,1.2309698831278217,191424.0,0.14398025555952185
0,poisson_branch,5,1.176776695296637,128488.0,0.10907148593319702
0,poisson_branch,6,1.0956708580912724,92720.0,0.23427829654433066
0,poisson_branch,7,1.0,23178.0,0.33882446656701437
0,poisson_branch,8,0.9043291419087276,13294.0,0.1944979868557603
0,poisson_branch,9,0.8232233047033631,8450.0,0.03791231238287342
0,poisson_branch,10,0.7690301168721784,7112.0,0.22868358912293066
0,poisson_branch,11,0.75,4841.0,0.032674705465148356
0,poisson_branch,12,0.7690301168721784,6764.0,0.1685624011287131
0,poisson_branch,13,0.823223304703363,7251.0,0.17442629314641667
0,poisson_branch,14,0.9043291419087274,18758.0,0.1365733987182228
0,poisson_branch,15,0.9999999999999999,41154.0,0.17395883609023244
1,weighted,0,1.0956708580912724,15.699157456467008,0.0671459080757258
1,weighted,1,1.176776695296637,17.967828068044927,0.1864718741342725
1,weighted,2,1.2309698831278217,14.096743913140411,0.26015976495472515
1,weighted,3,1.25,10.41533203740634,0.19342671245791665
1,weighted,4,1.2309698831278217,11.686478927679113,0.33353760982881486
1,weighted,5,1.176776695296637,13.632204471708583,0.001935154982747186
1,weighted,6,1.0956708580912724,13.084195887035097,0.10154302840297297
1,weighted,7,1.0,14.931262446345562,0.38329238029945323
1,weighted,8,0.9043291419087276,16.184496124931005,0.3579792645049364
1,weighted,9,0.8232233047033631,23.77964659194005,0.3902658578423417
1,weighted,10,0.7690301168721784,17.906272613342704,0.12733451376573518
1,weighted,11,0.75,24.57220541302627,0.2935321642072202
1,weighted,12,0.7690301168721784,27.508711023401855,0.3401010604846976
1,weighted,13,0.823223304703363,15.802175657744458,0.26399634033180175
1,weighted,14,0.9043291419087274,18.457321765799463,0.10232502665914826
1,weighted,15,0.9999999999999999,14.124646788887286,0.04100697030979906
1,weighted_ess_resample,0,1.0956708580912724,883.1929274383751,0.010066256849721268
1,weighted_ess_resample,1,1.176776695296637,1807.9913869705147,0.25846101362498736
1,weighted_ess_resample,2,1.2309698831278217,2093.402846153472,0.03217485097087017
1,weighted_ess_resample,3,1.25,2128.9377696693655,0.05621475666611779
1,weighted_ess_resample,4,1.2309698831278217,1200.4621874913846,0.410064523459354
1,weighted_ess_resample,5,1.176776695296637,1768.8142251619186,0.21539646222444
1,weighted_ess_resample,6,1.0956708580912724,958.9248274993955,0.06936586713058074
1,weighted_ess_resample,7,1.0,425.3792943828137,0.181626902610871
1,weighted_ess_resample,8,0.9043291419087276,256.93272738138904,0.14521897899498032
1,weighted_ess_resample,9,0.8232233047033631,153.2372808122313,0.18572406980359696
1,weighted_ess_resample,10,0.7690301168721784,125.34402821780849,0.10342335192640925
1,weighted_ess_resample,11,0.75,110.58295706493416,0.12837963382152007
1,weighted_ess_resample,12,0.7690301168721784,150.3647081410901,0.07524115103369354
1,weighted_ess_resample,13,0.823223304703363,190.07043346183062,0.03347461426609676
1,weighted_ess_resample,14,0.9043291419087274,274.23429426325055,0.08825519067050855
1,weighted_ess_resample,15,0.9999999999999999,541.5541577860143,0.04836613066914155
1,minvar_branch,0,1.0956708580912724,98642.0,0.3131112999107819
1,minvar_branch,1,1.176776695296637,143667.0,0.003821159715737553
1,minvar_branch,2,1.2309698831278217,244089.0,0.09152981549195735
1,minvar_branch,3,1.25,182913.0,0.2991554974492824
1,minvar_branch,4,1.2309698831278217,138429.0,0.38096603767996207
1,minvar_branch,5,1.176776695296637,171188.0,0.18700789541488605
1,minvar_branch,6,1.0956708580912724,74770.0,0.004670101028692662
1,minvar_branch,7,1.0,32656.0,0.06845507723757098
1,minvar_branch,8,0.9043291419087276,20136.0,0.22006834185891458
1,minvar_branch,9,0.8232233047033631,6184.0,0.29591121180777386
1,minvar_branch,10,0.7690301168721784,4979.0,0.1398178303932689
1,minvar_branch,11,0.75,5117.0,0.022475424940060985
1,minvar_branch,12,0.7690301168721784,5065.0,0.12496029542919396
1,minvar_branch,13,0.823223304703363,9961.0,0.13412490607758148
1,minvar_branch,14,0.9043291419087274,10675.0,0.3531868519395976
1,minvar_branch,15,0.9999999999999999,32687.0,0.06757077136410966
1,poisson_branch,0,1.0956708580912724,75467.0,0.004608285216915377
1,poisson_branch,1,1.176776695296637,134577.0,0.06685070483176257
1,poisson_branch,2,1.2309698831278217,220632.0,0.013366410401035936
1,poisson_branch,3,1.25,180885.0,0.306925927386864
1,poisson_branch,4,1.2309698831278217,167250.0,0.2520827991387185
1,poisson_branch,5,1.176776695296637,137209.0,0.04860056591594567
1,poisson_branch,6,1.0956708580912724,83029.0,0.10527278563178637
1,poisson_branch,7,1.0,32005.0,0.08702550058146924
1,poisson_branch,8,0.9043291419087276,10894.0,0.33991733630259163
1,poisson_branch,9,0.8232233047033631,7480.0,0.1483531475294548
1,poisson_branch,10,0.7690301168721784,4213.0,0.27215354879430437
1,poisson_branch,11,0.75,4343.0,0.1321847233702002
1,poisson_branch,12,0.7690301168721784,6109.0,0.05540326855341635
1,poisson_branch,13,0.823223304703363,7961.0,0.09358815608035063
1,poisson_branch,14,0.9043291419087274,11753.0,0.2878693274797275
1,poisson_branch,15,0.9999999999999999,30274.0,0.13640399951898483
2,weighted,0,1.0956708580912724,16.109726538794085,0.03805728172375289
2,weighted,1,1.176776695296637,12.755974662893468,0.13723722286560133
2,weighted,2,1.2309698831278217,24.083974718277943,0.04649436710024364
2,weighted,3,1.25,17.44366466864015,0.0758765273207849
2,weighted,4,1.2309698831278217,17.26249545668154,0.1743809468303964
2,weighted,5,1.176776695296637,14.554916865914326,0.3038895089183596
2,weighted,6,1.0956708580912724,14.874357860489322,0.16944476270179734
2,weighted,7,1.0,11.897895792145631,0.21790539673273274
2,weighted,8,0.9043291419087276,15.282641104235553,0.07658119011794245
2,weighted,9,0.8232233047033631,22.82952256151372,0.041960549198712255
2,weighted,10,0.7690301168721784,25.69187976050345,0.15169559810045039
2,weighted,11,0.75,23.173313902057107,0.20023489194993727
2,weighted,12,0.7690301168721784,24.602456660710438,0.09122893070104862
2,weighted,13,0.823223304703363,20.765603446703867,0.26295050411441906
2,weighted,14,0.9043291419087274,19.63644494793513,0.00435793059901007
