seed,method,m,amplitude,cx,cy,M_ref,M_method,E_m,local_eff
1,weighted,13,0.823223304703363,-0.7853981633974483,2.356194490192345,17.336913934685423,12.760032103281054,0.26399634033180175,15.802175657744458
1,weighted,14,0.9043291419087274,0.7853981633974483,2.356194490192345,32.57757740316995,35.91107887943978,0.10232502665914826,18.457321765799463
1,weighted,15,0.9999999999999999,2.356194490192345,2.356194490192345,69.19726433937966,72.03483450366392,0.04100697030979906,14.124646788887286
1,weighted_ess_resample,0,1.0956708580912724,-2.356194490192345,-2.356194490192345,148.2825587440157,146.78990842136454,0.010066256849721268,883.1929274383751
1,weighted_ess_resample,1,1.176776695296637,-0.7853981633974483,-2.356194490192345,284.67508004620794,358.25248978872526,0.25846101362498736,1807.9913869705147
1,weighted_ess_resample,2,1.2309698831278217,0.7853981633974483,-2.356194490192345,441.41018128244633,455.6124880822338,0.03217485097087017,2093.402846153472
1,weighted_ess_resample,3,1.25,2.356194490192345,-2.356194490192345,515.1724650036236,486.21217024236086,0.05621475666611779,2128.9377696693655
1,weighted_ess_resample,4,1.2309698831278217,-2.356194490192345,-0.7853981633974483,441.4101812824476,260.40352564475364,0.410064523459354,1200.4621874913846
1,weighted_ess_resample,5,1.176776695296637,-0.7853981633974483,-0.7853981633974483,284.6750800462278,345.9930851716445,0.21539646222444,1768.8142251619186
1,weighted_ess_resample,6,1.0956708580912724,0.7853981633974483,-0.7853981633974483,148.2825587440179,158.56830701163798,0.06936586713058074,958.9248274993955
1,weighted_ess_resample,7,1.0,2.356194490192345,-0.7853981633974483,69.19726433937538,56.62917954826895,0.181626902610871,425.3792943828137
1,weighted_ess_resample,8,0.9043291419087276,-2.356194490192345,0.7853981633974483,32.57757740317082,27.846694874552412,0.14521897899498032,256.93272738138904
1,weighted_ess_resample,9,0.8232233047033631,-0.7853981633974483,0.7853981633974483,17.336913934687896,14.117031720902968,0.18572406980359696,153.2372808122313
1,weighted_ess_resample,10,0.7690301168721784,0.7853981633974483,0.7853981633974483,11.425663551126782,10.24398312868585,0.10342335192640925,125.34402821780849
1,weighted_ess_resample,11,0.75,2.356194490192345,0.7853981633974483,9.878529006862887,8.610327070266566,0.12837963382152007,110.58295706493416
1,weighted_ess_resample,12,0.7690301168721784,-2.356194490192345,2.356194490192345,11.425663551126913,12.28534362803742,0.07524115103369354,150.3647081410901
1,weighted_ess_resample,13,0.823223304703363,-0.7853981633974483,2.356194490192345,17.336913934685423,17.917260441213536,0.03347461426609676,190.07043346183062
1,weighted_ess_resample,14,0.9043291419087274,0.7853981633974483,2.356194490192345,32.57757740316995,29.702437097869932,0.08825519067050855,274.23429426325055
