t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,R_0_2,R_0_5,R_0_8,cov_eig0,cov_eig1,cov_eig2,drift_resolution_number
0.4,4,100000,32913,96.0,31.59648,31.649275580578625,0.0,8.203730395847774,32913,0.2294883078113489,0.7358560622231369,1.7525128883175505,0.5629720079341325,0.5585690581485614,0.5572459842274029,0.032346447786878965
0.44,4,100000,35659,96.0,34.23264,34.172503576018435,0.0,9.643475673723561,35659,0.19170646199220023,0.5792390355559756,1.7943333031430855,0.579220439031796,0.575352273846756,0.572507693041008,0.038674182936535635
0.48,4,100000,37992,96.0,36.47232,36.59679438661048,0.0,11.14258027009755,37992,0.1617589367782389,0.38730455791191515,1.8386517248480565,0.5954153805529381,0.5888506876139915,0.5880630063957777,0.04498044358451825
0.52,4,100000,40410,96.0,38.7936,38.92602739486135,0.0,12.650748088865853,40410,0.14385657484212452,0.2977121138879406,1.87780370845086,0.6127618032432317,0.6055040896700897,0.6026599843739772,0.051705455405791266
0.56,4,100000,42806,96.0,41.09376,41.16392987051377,0.0,14.308400082117927,42806,0.128540423579887,0.2493982569361207,1.9121759907119191,0.6295811250390748,0.6199117897426212,0.6174448956071803,0.06054910558497011
0.6,4,100000,44906,96.0,43.10976,43.31408293497347,0.0,14.433442099542486,44906,0.1222738502231358,0.2292925935023786,1.9357043019095879,0.647476017195454,0.6352604063329345,0.6325004134151888,0.061156571632125734
0.64,4,100000,46999,96.0,45.11904,45.37992729186734,0.0,15.2808226238613,46999,0.11755789835784072,0.2147316016161324,1.9638347555364768,0.6649461154823512,0.650864614396966,0.647700507129245,0.06557577217468143
0.68,4,100000,49053,96.0,47.09088,47.3647687329034,0.0,15.797146262211902,49053,0.11620877749107819,0.20809729406460936,1.9932892739002503,0.6800075612292837,0.6693039040877532,0.6657477859058875,0.06750614573019736
0.72,4,100000,51051,96.0,49.00896,49.27178342784271,0.0,15.824004067021152,51051,0.11373687124218623,0.200873730049408,2.0189785790716193,0.696824256239994,0.6894911366575065,0.6850268663218774,0.06771303258418322
0.76,4,100000,52990,96.0,50.870400000000004,51.10402300704871,0.0,15.959865027367002,52990,0.11197124359644575,0.19746190257070556,2.0434920253864686,0.7106323232717957,0.7058378069937845,0.7035006625820358,0.06760184039558581
0.8,4,100000,54819,96.0,52.62624,52.86441944474673,0.0,16.423958923771348,54819,0.10840944129460953,0.18957372250684104,2.057603544093486,0.7275676647189521,0.7196820545914298,0.7166390370385892,0.06981651174267285
0.84,4,100000,56454,96.0,54.195840000000004,54.55578975080835,0.0,16.963408560876363,56454,0.10688574478274879,0.1854200967266198,2.077109084553135,0.7438337837182333,0.7384434119816827,0.7325574375248842,0.07268391803712805
