t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,abs_Mv_error,rel_Mv_error,E_u_modes,E_v_modes,E_grad_v_particles,G_v,max_v_occupancy
0.62,5,20000,9314,10.0,4.657,4.620555624053255,0.0,0.03644437594674521,0.007887444478977051,0.0004553390721272186,0.00035874063403090994,0.035935186025496044,0.07303932608621494,9314
0.64,5,20000,9523,10.0,4.7615,4.727075759569514,0.0,0.03442424043048575,0.007282354288652379,0.0004769902899949399,0.0003277716795756269,0.03946632813795919,0.07232408416596357,9523
0.66,5,20000,9718,10.0,4.859,4.831486655083008,0.0,0.027513344916991755,0.00569459193021802,0.000453132809974276,0.00028516365043156555,0.03566503499901418,0.06811909521265397,9721
0.68,5,20000,9921,10.0,4.9605,4.933830076344105,0.0,0.026669923655894934,0.005405521317762316,0.0004372703304670361,0.0003244911402060719,0.03663902766974045,0.06733900231927638,9921
0.7000000000000001,5,20000,10116,10.0,5.058,5.034146962085906,0.0,0.02385303791409399,0.004738248226311305,0.00041118652444896404,0.0003201885287579353,0.037545702502638806,0.06630140059906729,10116
0.72,5,20000,10319,10.0,5.1595,5.132477440400283,0.0,0.027022559599717333,0.005265012835128962,0.00043005897737362326,0.00036317333245296896,0.03789140214695043,0.06518095683037838,10319
0.74,5,20000,10512,10.0,5.256,5.228860844789656,0.0,0.027139155210344157,0.005190261515065409,0.00043164436679717013,0.0003351640934950866,0.03715336022850635,0.06353120999718187,10512
0.76,5,20000,10726,10.0,5.363,5.323335729900908,0.0,0.03966427009909257,0.007451017954081003,0.00047648638235080356,0.0004287477203811336,0.03557174718085652,0.06210285429580954,10726
0.78,5,20000,10914,10.0,5.457,5.415939886947765,0.0,0.041060113052235,0.007581345788417724,0.00044431943490731176,0.00040251217485301135,0.03411708697550277,0.05923759482546544,10914
0.8,5,20000,11082,10.0,5.541,5.506710358827784,0.0,0.034289641172216,0.0062268830096078,0.0004902432213787918,0.00038780496678611335,0.035686824443902636,0.05871532521540588,11082
0.8200000000000001,5,20000,11261,10.0,5.6305000000000005,5.5956834549400085,0.0,0.03481654505999199,0.006222036207079419,0.0004636397752996431,0.00041666108783273964,0.03769460917602147,0.05943414939019559,11261
0.84,5,20000,11434,10.0,5.7170000000000005,5.682894765709204,0.0,0.034105234290796815,0.006001384100333699,0.0004341902371856887,0.00041706954496349816,0.03890424864804645,0.05944516445547158,11434
0.86,5,20000,11600,10.0,5.8,5.768379176822512,0.0,0.031620823177488155,0.005481751841928387,0.0004445795315367002,0.00041827300791360536,0.03524144553481464,0.056144746377040755,11600
0.88,5,20000,11812,10.0,5.906,5.852170883184186,0.0,0.05382911681581337,0.00919814507988611,0.0003975549083291618,0.00035928217473645425,0.03311663242652622,0.05376212072810392,11812
0.9,5,20000,11984,10.0,5.992,5.934303402594009,0.0,0.05769659740599131,0.00972255604268075,0.0004419397015074062,0.00041455217422994275,0.03432206329022023,0.05381676181449925,11984
0.92,5,20000,12159,10.0,6.0795,6.01480958915486,0.0,0.06469041084514071,0.010755188487060712,0.0005130417045243719,0.0004490852199336118,0.03317372221649638,0.051721626670136016,12159
0.9400000000000001,5,20000,12307,10.0,6.1535,6.093721646414789,0.0,0.05977835358521144,0.009809826745266866,0.0004793971791060632,0.0004504750702374273,0.03149497342259947,0.05039708034737255,12313
0.96,5,20000,12414,10.0,6.207,6.1710711402488805,0.0,0.03592885975111937,0.005822143179777109,0.0004503955245103257,0.0004044062216107997,0.03195114820425136,0.0497205098227507,12414
0.98,5,20000,12592,10.0,6.296,6.246889011486005,0.0,0.04911098851399487,0.007861671373334099,0.0004533839903144771,0.0004213461969536297,0.03170465130971935,0.04905240672583219,12592
1.0,5,20000,12719,10.0,6.3595,6.321205588285577,0.0,0.03829441171442305,0.006058086733548114,0.0004194787056046244,0.0003947744151664771,0.03064501433383851,0.047771090545607464,12719
