experiment,method,seed,K,h,region,E_total,E_particle,E_proj,E_KDE_rep,E_bias,global_nESS,local_nESS_or_count,N_active,particle_steps
switching,weighted,1,32,,B_A,0.5383669529233703,0.5383651851869106,3.1238374697964735e-05,,,0.032243511948947604,0.3387446765869752,20000,24000000
switching,weighted,1,32,,B_B,0.47015678611163253,0.47016384859066046,0.0001210758423355382,,,0.032243511948947604,0.4756015824907374,20000,24000000
switching,weighted_ess,1,32,,global,0.230619818069688,0.2306197684114685,0.00015553437510788028,,,0.537278621112699,0.537278621112699,20000,24000000
switching,weighted_ess,1,32,,B_A,0.09665694846422171,0.09665649512948137,3.1238374697964735e-05,,,0.537278621112699,0.9999999999999996,20000,24000000
switching,weighted_ess,1,32,,B_B,0.254008536440152,0.25401225418806295,0.0001210758423355382,,,0.537278621112699,0.9124361279618617,20000,24000000
switching,minvar,1,32,,global,0.16170099449618447,0.16170092165055125,0.00015553437510788028,,,nan,43481.0,43481,33884401
switching,minvar,1,32,,B_A,0.10350009565796532,0.10350288096625423,3.1238374697964735e-05,,,nan,7345.0,43481,33884401
switching,minvar,1,32,,B_B,0.1666833777217603,0.16668667371458096,0.0001210758423355382,,,nan,11006.0,43481,33884401
switching,weighted,1,48,,global,0.8299205828148329,0.8299205828148191,9.943525597669863e-08,,,0.032243511948947604,0.032243511948947604,20000,24000000
switching,weighted,1,48,,B_A,0.8257178411054917,0.8257178394570504,2.1454765400600653e-08,,,0.032243511948947604,0.3387446765869752,20000,24000000
switching,weighted,1,48,,B_B,0.6899472146434159,0.6899472207549402,7.221595572545295e-08,,,0.032243511948947604,0.4756015824907374,20000,24000000
switching,weighted_ess,1,48,,global,0.2825358720949106,0.28253587209489045,9.943525597669863e-08,,,0.537278621112699,0.537278621112699,20000,24000000
switching,weighted_ess,1,48,,B_A,0.11661446113334385,0.11661446083049648,2.1454765400600653e-08,,,0.537278621112699,0.9999999999999996,20000,24000000
switching,weighted_ess,1,48,,B_B,0.2957042768596533,0.2957042752295833,7.221595572545295e-08,,,0.537278621112699,0.9124361279618617,20000,24000000
switching,minvar,1,48,,global,0.18685197854139227,0.18685197854136446,9.943525597669863e-08,,,nan,43481.0,43481,33884401
switching,minvar,1,48,,B_A,0.13577552373358637,0.1357755214985502,2.1454765400600653e-08,,,nan,7345.0,43481,33884401
switching,minvar,1,48,,B_B,0.17593849438230907,0.17593849344111215,7.221595572545295e-08,,,nan,11006.0,43481,33884401
switching,weighted,1,64,,global,1.1574887879033025,1.157488787903286,2.2473231968135687e-11,,,0.032243511948947604,0.032243511948947604,20000,24000000
switching,weighted,1,64,,B_A,1.2478351873949995,1.2478351873949465,5.080812368342903e-12,,,0.032243511948947604,0.3387446765869752,20000,24000000
switching,weighted,1,64,,B_B,0.9251169174268364,0.9251169174277891,1.5821814070466095e-11,,,0.032243511948947604,0.4756015824907374,20000,24000000
switching,weighted_ess,1,64,,global,0.3587707543383917,0.35877075433838657,2.2473231968135687e-11,,,0.537278621112699,0.537278621112699,20000,24000000
switching,weighted_ess,1,64,,B_A,0.15711015223490318,0.15711015223541125,5.080812368342903e-12,,,0.537278621112699,0.9999999999999996,20000,24000000
switching,weighted_ess,1,64,,B_B,0.3730033455186953,0.373003345518258,1.5821814070466095e-11,,,0.537278621112699,0.9124361279618617,20000,24000000
switching,minvar,1,64,,global,0.21891425235290585,0.21891425235290324,2.2473231968135687e-11,,,nan,43481.0,43481,33884401
switching,minvar,1,64,,B_A,0.16039592490288213,0.1603959249025789,5.080812368342903e-12,,,nan,7345.0,43481,33884401
switching,minvar,1,64,,B_B,0.19424301049876952,0.19424301049887543,1.5821814070466095e-11,,,nan,11006.0,43481,33884401
switching,weighted,2,32,,global,0.6280854211217313,0.628085409461026,0.00015553437510788028,,,0.03243223171117877,0.03243223171117877,20000,24000000
switching,weighted,2,32,,B_A,0.7329605568186816,0.7329623056994311,3.1238374697964735e-05,,,0.03243223171117877,0.3880937249232527,20000,24000000
switching,weighted,2,32,,B_B,0.4888808689054557,0.4888829476181522,0.0001210758423355382,,,0.03243223171117877,0.5357616067937018,20000,24000000
switching,weighted_ess,2,32,,global,0.24838622648215286,0.2483861807902697,0.00015553437510788028,,,0.6556749745807762,0.6556749745807762,20000,24000000
switching,weighted_ess,2,32,,B_A,0.0849368867210884,0.08493864662963105,3.1238374697964735e-05,,,0.6556749745807762,0.9999999999999999,20000,24000000
switching,weighted_ess,2,32,,B_B,0.28056712250293464,0.28056253054566427,0.0001210758423355382,,,0.6556749745807762,0.9257259834533386,20000,24000000
switching,minvar,2,32,,global,0.1303500142726219,0.1303499230569829,0.00015553437510788028,,,nan,41122.0,41122,32539931
switching,minvar,2,32,,B_A,0.10868112409108645,0.10868189209836589,3.1238374697964735e-05,,,nan,6361.0,41122,32539931
switching,minvar,2,32,,B_B,0.11863455627838573,0.11863575580871341,0.0001210758423355382,,,nan,10380.0,41122,32539931
switching,weighted,2,48,,global,0.9329385476632557,0.9329385476632417,9.943525597669863e-08,,,0.03243223171117877,0.03243223171117877,20000,24000000
switching,weighted,2,48,,B_A,1.1819253844373612,1.1819253844521327,2.1454765400600653e-08,,,0.03243223171117877,0.3880937249232527,20000,24000000
switching,weighted,2,48,,B_B,0.6489848904050035,0.6489848964678187,7.221595572545295e-08,,,0.03243223171117877,0.5357616067937018,20000,24000000
switching,weighted_ess,2,48,,global,0.3021721756619688,0.30217217566194887,9.943525597669863e-08,,,0.6556749745807762,0.6556749745807762,20000,24000000
switching,weighted_ess,2,48,,B_A,0.152620195928942,0.15262019295500628,2.1454765400600653e-08,,,0.6556749745807762,0.9999999999999999,20000,24000000
switching,weighted_ess,2,48,,B_B,0.3244617095135216,0.32446170752341685,7.221595572545295e-08,,,0.6556749745807762,0.9257259834533386,20000,24000000
switching,minvar,2,48,,global,0.15875381642857703,0.15875381642854502,9.943525597669863e-08,,,nan,41122.0,41122,32539931
switching,minvar,2,48,,B_A,0.12234375468097143,0.12234375504622146,2.1454765400600653e-08,,,nan,6361.0,41122,32539931
switching,minvar,2,48,,B_B,0.1361788294493919,0.13617882680574236,7.221595572545295e-08,,,nan,10380.0,41122,32539931
switching,weighted,2,64,,global,1.2143145011205814,1.214314501120564,2.2473231968135687e-11,,,0.03243223171117877,0.03243223171117877,20000,24000000
switching,weighted,2,64,,B_A,1.4951055036816931,1.4951055036813663,5.080812368342903e-12,,,0.03243223171117877,0.3880937249232527,20000,24000000
switching,weighted,2,64,,B_B,0.8738820460457178,0.8738820460464148,1.5821814070466095e-11,,,0.03243223171117877,0.5357616067937018,20000,24000000
switching,weighted_ess,2,64,,global,0.3546906839213226,0.3546906839213165,2.2473231968135687e-11,,,0.6556749745807762,0.6556749745807762,20000,24000000
switching,weighted_ess,2,64,,B_A,0.18077097577492443,0.1807709757751899,5.080812368342903e-12,,,0.6556749745807762,0.9999999999999999,20000,24000000
switching,weighted_ess,2,64,,B_B,0.37070646785973216,0.3707064678602241,1.5821814070466095e-11,,,0.6556749745807762,0.9257259834533386,20000,24000000
switching,minvar,2,64,,global,0.1918765768037022,0.19187657680370018,2.2473231968135687e-11,,,nan,41122.0,41122,32539931
switching,minvar,2,64,,B_A,0.14308290061904638,0.14308290061852083,5.080812368342903e-12,,,nan,6361.0,41122,32539931
switching,minvar,2,64,,B_B,0.15533113668448403,0.15533113668420243,1.5821814070466095e-11,,,nan,10380.0,41122,32539931
